,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,disable_communication,country,currency,goal,deadline,created_at
140,256,0.0031622776601683,512,CLIP,110677761.0,113038594,0.6087792,0.5293309211980587,0.5,0.4406779661016949,1.0,0.8875,2.9148368412278016e-06,0.000905196822714,0.0009969149250537
141,256,0.0031622776601683,512,CONTROL,,113038594,,,0.5,,,,,,
142,256,0.0031622776601683,512,GMC,224240640.0,113563906,0.73710376,0.5235183189272625,0.5,0.5,0.2,0.2,3.2688720352779184e-07,0.0009067865321412,0.001043644035235
143,256,0.0031622776601683,512,ICEH,111465729.0,113826562,0.6468147,0.526669099628855,0.4999616595452822,0.8050847457627119,0.2,0.2,1.3095702797726956e-06,0.081287533044815,0.1200252920389175
144,256,0.0031622776601683,512,MCN,110681856.0,113038594,0.9760251,0.5520020817446896,0.5,0.5,0.3291666666666667,0.4,2.3273454985422122e-07,0.0856100991368293,0.0913025289773941
145,256,0.0031622776601683,512,SCARF,111481984.0,111613954,0.97884935,0.514624161775892,0.5,,,,,,
146,256,0.0031622776601683,512,SUBTAB,111990016.0,111991042,0.94739497,0.5205271717855907,0.5,,,,,,
147,256,0.0056234132519034,128,CLIP,109633665.0,109781506,0.6625834,0.5289903538255963,0.5,0.8135593220338984,0.2,0.4,5.448127922135704e-07,0.0008698500460013,0.0009081125608645
148,256,0.0056234132519034,128,CONTROL,,109781506,,,0.5,,,,,,
149,256,0.0056234132519034,128,GMC,223797504.0,110907778,0.5414248,0.5277304438830644,0.5,0.5,0.2,0.2,4.1157665009446827e-07,0.0444199182093143,0.0421610362827777
150,256,0.0056234132519034,128,ICEH,111268737.0,111416578,0.6142578,0.525894717111345,0.5,0.5,0.2,0.2,6.052549110790311e-07,0.0849013477563858,0.2513439953327178
151,256,0.0056234132519034,128,MCN,109634688.0,109781506,0.8960275,0.537786648149647,0.5,0.5,0.5958333333333333,0.3583333333333333,2.3273454985422122e-07,0.1803471893072128,0.1751188933849334
152,256,0.0056234132519034,128,SCARF,111333760.0,111317506,0.98012924,0.5198962109690621,0.5,,,,,,
153,256,0.0056234132519034,128,SUBTAB,110907520.0,110907778,0.9096017,0.5199386931395673,0.5,,,,,,
154,256,0.0056234132519034,256,CLIP,109883393.0,110473986,0.6869211,0.5176858364206867,0.5,0.7966101694915254,0.4291666666666667,0.4333333333333333,3.2224043025050976e-06,0.0008867455180734,0.0008859529625624
155,256,0.0056234132519034,256,CONTROL,,110473986,,,0.5,,,,,,
156,256,0.0056234132519034,256,GMC,223912448.0,111465474,0.7448457,0.5233539519778705,0.5,0.4745762711864407,0.2,0.2,1.9967710613853047e-06,0.0050307749770581,0.0067836106754839
157,256,0.0056234132519034,256,ICEH,111334401.0,111924994,0.5013136,0.5292348333917907,0.5,0.5,0.2,0.2,3.760725348910888e-07,0.0717049613595009,0.0226132608950137
158,256,0.0056234132519034,256,MCN,109885440.0,110473986,0.98176295,0.5438629002139965,0.5,0.5,0.2,0.3958333333333333,2.3273454985422122e-07,0.0800923034548759,0.0913025289773941
159,256,0.0056234132519034,256,SCARF,111383168.0,111383554,0.6853416,0.5224845466667235,0.5,,,,,,
160,256,0.0056234132519034,256,SUBTAB,111202816.0,111203330,0.9690812,0.5129903140651249,0.5,,,,,,
161,256,0.0056234132519034,512,CLIP,110677761.0,113038594,0.5943759,0.5256471608419943,0.5,0.8389830508474576,0.4583333333333333,0.8,2.8235265290275008e-06,0.0009688045829534,0.0009431471698917
162,256,0.0056234132519034,512,CONTROL,,113038594,,,0.5,,,,,,
163,256,0.0056234132519034,512,GMC,224240640.0,113563906,0.6165205,0.5264086448731948,0.5,0.4915254237288136,0.2,0.2,1.854217885010944e-06,0.0074433484114706,0.0064295963384211
164,256,0.0056234132519034,512,ICEH,111465729.0,113826562,0.54557544,0.5154336897102266,0.5001454333915067,0.5,0.2,0.2,7.055989499348707e-07,0.0759023427963256,0.0546197853982448
165,256,0.0056234132519034,512,MCN,110681856.0,113038594,0.9847941,0.5437110767467036,0.5,0.5,0.2,0.2,2.3273454985422122e-07,0.255234807729721,0.1751188933849334
166,256,0.0056234132519034,512,SCARF,111481984.0,111613954,0.98718446,0.5172235026040742,0.5,,,,,,
