,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime3,Sa
147,1024,0.003,32,CLIP,17921.0,34369,0.55125034,4.2429834e-05,6.235323e-05,258376.859375,1145.2703857421875,0.2932334840297699,0.003293081652373,0.7126729488372803,16.548742294311523,72.00943756103516,6.216981273610145e-05,1.6516823768615725,4.551887045067815e-08,5.13899408360885e-07,2.4685537169943927e-08,3.2160377827494813e-07,1.6047168571731166e-07,9.7201258597579e-08,3.927673049020086e-07
148,1024,0.003,32,CONTROL,,34369,,,5.5499535e-05,,,,,,,,,,,,,,,,
149,1024,0.003,32,GMC,819488.0,305377,0.35823628,3.6436682e-05,9.901249e-05,69862.0546875,655.567626953125,0.1035418212413787,0.0089933965355157,0.7112420797348022,19.213836669921875,66.85691833496094,0.0001212028364534,1.078097581863403,9.270754048884556e-07,8.637106247988413e-07,5.171069119569438e-07,9.93915023173031e-07,4.1823899010751127e-08,5.1415089963313684e-09,8.867452834238065e-07
150,1024,0.003,32,ICEH,305441.0,321889,0.43306863,2.6373296e-05,4.4079836e-05,76154.078125,1812.1368408203125,0.6104448437690735,0.0009143080678768,0.9540094137191772,4.355345726013184,17.86320686340332,0.0001156965518021,0.5856447219848633,6.06619551035692e-07,6.205031581885123e-07,6.229874998098239e-07,6.319339718174888e-07,1.4727986297202733e-07,1.5954401533235798e-07,6.252515731830499e-07
151,1024,0.003,32,MCN,21184.0,34369,0.50602454,3.7811504e-05,3.595907e-05,349541.75,2694.124267578125,0.4597975015640259,0.0947765707969665,5.010534763336182,73.30188751220703,254.7421417236328,0.002048168098554,5.232578277587891,9.187264708998556e-07,1.107924504140101e-06,6.425157721423602e-07,8.331917911164055e-07,1.5622640603396579e-07,1.4660376734809688e-07,3.323364580865018e-06
152,1024,0.003,32,SCARF,35392.0,34369,0.19618364,3.939297e-05,0.000104455656,,,,,,,,,,,,,,,,
153,1024,0.003,32,SUBTAB,26176.0,34369,0.48286432,3.939245e-05,4.2904572e-05,,,,,,,,,,,,,,,,
154,1024,0.003,64,CLIP,68609.0,134273,0.52860475,4.3561282e-05,0.00020824053,298867.90625,1210.1383056640625,0.2130833268165588,0.0046564466319978,1.351446509361267,9.852201461791992,124.29244995117188,6.841980939498171e-05,6.100267887115479,8.401100899391167e-07,1.1070441132687847e-06,7.883489843152347e-07,6.984434435253206e-07,9.993711103106763e-08,9.619498086976821e-08,7.402987876048428e-07
155,1024,0.003,64,CONTROL,,134273,,,6.407504e-05,,,,,,,,,,,,,,,,
156,1024,0.003,64,GMC,823616.0,358721,0.37133744,3.772603e-05,0.00091925054,73076.1328125,698.5314331054688,0.1011600643396377,0.0120998416095972,0.7128930687904358,16.38679313659668,63.04245376586914,0.0001246399478986,1.026195049285889,5.081603831058601e-07,3.9020437725412194e-07,8.221069833780348e-07,5.039150892116595e-07,5.055030882772371e-08,2.0172954862118786e-08,5.601415296041523e-07
157,1024,0.003,64,ICEH,309569.0,375233,0.4387062,2.6594924e-05,4.204532e-05,79450.03125,3120.82861328125,0.3623067438602447,0.001056918175891,0.8280503153800964,5.949685573577881,10.98113250732422,0.0001936352055054,0.4905346035957336,6.262421266001184e-07,6.472327527262678e-07,6.683805509055674e-07,6.28003192559845e-07,1.0544025741410225e-07,9.724843863523348e-08,6.28003192559845e-07
158,1024,0.003,64,MCN,75136.0,134273,0.2331363,3.5741257e-05,0.00048224968,332025.625,2606.517333984375,0.5948107242584229,0.0640921294689178,2.5851571559906006,77.4056625366211,433.48583984375,0.00201919185929,13.31378936767578,2.9092925615259446e-06,6.712579079248826e-07,2.5159433789667678e-06,6.331131885417562e-07,1.0544025741410225e-07,1.318238957992435e-07,2.100094434354105e-06
