,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,sex,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,age,juv_misd_count,priors_count
53,1024,0.0003,64,MCN,20416.0,59138,0.48940945,0.6352869649805448,0.6815823605706874,0.5,0.8641846143377224,0.6650079956449253,0.5306414016091435,0.5,0.7081725121664708,0.5647108843537415,0.5679252577319588,664.2072143554688,0.5231388211250305,22.154930114746094
54,1024,0.0003,64,SCARF,63168.0,59138,0.47534835,0.6351653696498054,0.6783965629053177,,,,,,,,,,,
55,1024,0.0003,64,SUBTAB,30400.0,59138,0.45551652,0.627091439688716,0.6649156939040207,,,,,,,,,,,
56,1024,0.0003,128,CLIP,52353.0,232962,0.4522881,0.6104409857328146,0.6732490272373541,0.5012278697886922,0.940721649484536,0.5264026402640264,0.5,0.5,0.5,0.8392857142857143,0.5075,987.3682250976562,2.7867202758789062,630.6398315429688
57,1024,0.0003,128,CONTROL,,232962,,,0.6683933203631647,,,,,,,,,,,
58,1024,0.0003,128,GMC,318080.0,265986,0.4391495,0.6395914396887159,0.6788099870298314,0.5,0.6778350515463918,0.6778350515463918,0.5705128205128205,0.5673076923076923,0.6361386138613861,0.5,0.5,227.53521728515625,0.2072434574365615,25.43661880493164
59,1024,0.0003,128,ICEH,101889.0,282498,0.7341727,0.6489218547341116,0.6745055123216601,0.5,1.0,1.0,1.0,1.0,0.5,0.9591836734693876,1.0,112.32394409179688,0.8591549396514893,28.24346160888672
60,1024,0.0003,128,MCN,65408.0,232962,0.463891,0.6419503891050584,0.6699254215304798,0.4911621930325528,0.5,1.0,0.5366568914956011,0.6787352432513722,0.2277227722772277,0.290391156462585,0.5,115.87323760986328,0.5995975732803345,26.060361862182617
61,1024,0.0003,128,SCARF,249216.0,232962,0.5474871,0.6571011673151751,0.6622811284046692,,,,,,,,,,,
62,1024,0.0003,128,SUBTAB,118144.0,232962,0.50614625,0.6023832684824904,0.6544990272373541,,,,,,,,,,,
63,1024,0.0005,32,CLIP,3873.0,15234,0.43767795,0.6248865110246433,0.6753323605706874,0.5,0.8130465108366507,0.5154639175257731,0.8181818181818181,0.6986991503120535,0.5,0.5909013605442177,0.5,1134.88330078125,0.4004024267196655,857.2695922851562
64,1024,0.0005,32,CONTROL,,15234,,,0.6671368352788587,,,,,,,,,,,
65,1024,0.0005,32,GMC,305696.0,84354,0.40859064,0.6041909857328145,0.6771400778210117,0.5,0.7063897111360621,0.7063897111360621,0.6025641025641025,0.6025641025641025,0.6237623762376238,0.5,0.5,146.60362243652344,0.2072434574365615,22.062374114990234
66,1024,0.0005,32,ICEH,89505.0,100866,0.7224137,0.6121108949416343,0.6679636835278858,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.55375,111.89537048339844,0.8350100517272949,25.99195098876953
67,1024,0.0005,32,MCN,7136.0,15234,0.47666535,0.6376459143968871,0.6724221789883269,0.5368503712164477,0.5644329896907216,0.5,0.597695315437251,0.5,0.7277227722772277,0.5231292517006803,0.5450773195876288,441.0201110839844,1.8289738893508911,34.684104919433594
68,1024,0.0005,32,SCARF,16224.0,15234,0.47824636,0.6533479247730221,0.6817201686121919,,,,,,,,,,,
69,1024,0.0005,32,SUBTAB,8032.0,15234,0.5325577,0.626556420233463,0.6899156939040207,,,,,,,,,,,
70,1024,0.0005,64,CLIP,13889.0,59138,0.35870245,0.626280804150454,0.6699092088197147,0.5,0.6907216494845361,0.9867986798679867,0.8035190615835777,0.575569591698624,0.5,0.4841836734693877,0.5,437.1187133789063,0.5251508951187134,627.3179321289062
