,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,month,hour,temp,feel_temp,humidity,windspeed
187,1024,0.005,128,SCARF,186624.0,170241,0.39080745,24022.738,9752.643,,,,,,
188,1024,0.005,128,SUBTAB,104704.0,170241,0.51579165,15648.619,10418.133,,,,,,
189,1024,0.007,32,CLIP,5633.0,11841,0.4106318,16397.863,9700.563,0.3038329907209655,0.0584969327809051,2.9655282497406006,4.380053043365479,0.0606999956071376,641.5861206054688
190,1024,0.007,32,CONTROL,,11841,,,10009.42,,,,,,
191,1024,0.007,32,GMC,262432.0,98529,0.1627985,16892.172,10366.394,0.2577311607951454,0.0540239510789726,8.158265113830566,8.79719352722168,0.0374022424221038,116.84016418457033
192,1024,0.007,32,ICEH,108833.0,115041,0.5292575,21328.902,10624.233,0.2485657488309403,0.0781515539058642,2.579416513442993,3.223212480545044,0.0869784280657768,891.3767700195312
193,1024,0.007,32,MCN,8896.0,11841,0.2505905,10863.284,9875.313,0.2846223648986157,0.0564290823019884,29.09024810791016,56.48674011230469,0.0894156917929649,699.4015502929688
194,1024,0.007,32,SCARF,12864.0,11841,0.22060627,11015.207,10130.904,,,,,,
195,1024,0.007,32,SUBTAB,7744.0,11841,0.44476837,14907.388,10138.939,,,,,,
196,1024,0.007,64,CLIP,19457.0,44161,0.46099854,17665.35,10139.694,0.2741010377006987,0.08298053864078,3.3469316959381104,3.5251951217651367,0.0513907559216022,650.962158203125
197,1024,0.007,64,CONTROL,,44161,,,9957.169,,,,,,
198,1024,0.007,64,GMC,266560.0,121153,0.16900003,16886.898,9737.076,0.2603968048967851,0.0666834047815147,4.877254486083984,7.04674243927002,0.0408620424568653,120.51282501220705
199,1024,0.007,64,ICEH,112961.0,137665,0.6587005,24339.547,9862.716,0.2057680479047058,0.0434307637844883,2.464524745941162,3.091403722763061,0.036367367953062,111.53424072265624
200,1024,0.007,64,MCN,25984.0,44161,0.254463,11053.834,10151.554,0.2762610083447865,0.0598052871806946,17.947620391845703,9.54333209991455,0.0747168064117431,338.70166015625
201,1024,0.007,64,SCARF,48256.0,44161,0.5393421,19511.145,9741.884,,,,,,
202,1024,0.007,64,SUBTAB,27776.0,44161,0.4714111,13541.975,10420.47,,,,,,
203,1024,0.007,128,CLIP,71681.0,170241,0.46556428,19865.982,9998.09,0.3004790217971654,0.0586857830327957,2.972120761871338,3.117875814437866,0.0515084043145179,517.3687744140625
204,1024,0.007,128,CONTROL,,170241,,,10066.411,,,,,,
205,1024,0.007,128,GMC,274816.0,203265,0.36711037,19860.326,10351.445,0.248355041411399,0.0687119585887084,5.187084674835205,7.576650619506836,0.0389637239277362,110.58314514160156
206,1024,0.007,128,ICEH,121217.0,219777,0.5624014,24617.266,10726.117,0.2371947728644607,0.0500177988349093,2.537038326263428,3.0759057998657227,0.1227581202983856,183.63348388671875
207,1024,0.007,128,MCN,84736.0,170241,0.20735398,11106.138,10104.736,0.2503564274014683,0.0746827591130562,11.767001152038574,12.362452507019045,0.0623313747346401,241.59300231933597
208,1024,0.007,128,SCARF,186624.0,170241,0.84806585,24556.416,10069.647,,,,,,
209,1024,0.007,128,SUBTAB,104704.0,170241,0.5619046,22258.668,9821.271,,,,,,
210,1024,0.01,32,CLIP,5633.0,11841,0.43714046,16935.127,10514.258,0.3136185226492579,0.0725343238943419,3.1849536895751958,3.455420017242432,0.0625519603490829,992.63671875
211,1024,0.01,32,CONTROL,,11841,,,9971.779,,,,,,
212,1024,0.01,32,GMC,262432.0,98529,0.34199396,20207.586,10297.572,0.2708427261166381,0.0573478983008481,6.833240985870361,7.990040302276611,0.036101259291172,87.61982727050781
213,1024,0.01,32,ICEH,108833.0,115041,0.5520176,24244.197,10291.949,0.2386295469985254,0.0446814945668194,2.5426888465881348,2.9498438835144043,0.0839327722787857,824.1835327148438
214,1024,0.01,32,MCN,8896.0,11841,0.37279648,11321.18,10094.767,0.2625303206574648,0.0760105480753788,15.214699745178224,14.251215934753418,0.0796537771821022,654.490478515625
215,1024,0.01,32,SCARF,12864.0,11841,0.5969757,18013.61,10916.828,,,,,,
216,1024,0.01,32,SUBTAB,7744.0,11841,0.4946366,13929.369,9787.369,,,,,,
217,1024,0.01,64,CLIP,19457.0,44161,0.4535974,18372.695,10096.265,0.2909613492214575,0.0633480404889144,2.9994313716888428,3.315319299697876,0.0478327721357345,563.3046875
218,1024,0.01,64,CONTROL,,44161,,,9912.29,,,,,,
219,1024,0.01,64,GMC,266560.0,121153,0.2110078,20642.307,10562.624,0.2578720580007452,0.0445637154674661,5.169192790985107,8.124319076538086,0.0321984589099884,80.01863098144531
220,1024,0.01,64,ICEH,112961.0,137665,0.5645639,25179.148,12195.244,0.2343104481937454,0.0559588626739261,2.463582754135132,3.1589527130126958,0.112731784582138,524.5272827148438
221,1024,0.01,64,MCN,25984.0,44161,0.26339638,11110.936,10247.427,0.2797564296077511,0.0676728485944243,7.561206340789795,23.531736373901367,0.0778788477182388,420.7089538574219
222,1024,0.01,64,SCARF,48256.0,44161,0.40745974,25065.771,10304.356,,,,,,
223,1024,0.01,64,SUBTAB,27776.0,44161,0.50534844,14013.289,10193.098,,,,,,
224,1024,0.01,128,CLIP,71681.0,170241,0.39262322,19959.906,9988.344,0.2761219023673669,0.0685564576727478,2.952344417572021,3.119546890258789,0.0466166697442531,455.311279296875
225,1024,0.01,128,CONTROL,,170241,,,9875.947,,,,,,
226,1024,0.01,128,GMC,274816.0,203265,0.29053992,22957.836,10162.602,0.253841119678357,0.0579131456759388,5.54494571685791,8.818817138671875,0.0384042002260685,94.38180541992188
227,1024,0.01,128,ICEH,121217.0,219777,0.55201954,24359.783,10460.789,0.2375488426934004,0.0391309701087378,2.533271551132202,3.1522576808929443,0.1532593816518783,134.55165100097656
228,1024,0.01,128,MCN,84736.0,170241,0.20980816,11119.622,9845.23,0.2976764114194836,0.063137594345058,6.659020900726318,7.964881896972656,0.0572957918047905,336.3545837402344
229,1024,0.01,128,SCARF,186624.0,170241,0.3580599,26897.873,10888.704,,,,,,
230,1024,0.01,128,SUBTAB,104704.0,170241,0.59071434,24745.617,10235.381,,,,,,
