,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,dx_type,sex,localization,age
80,512,0.00075,512,ICEH,27132457.0,28447279,0.6974552,0.4580536692288856,0.8696224559475532,0.9032258064516128,0.9328989192625556,0.5181337461144796,61.75298690795898
81,512,0.00075,512,MCN,26370600.0,27659311,0.49049366,0.465227279966713,0.8459689846087689,0.502371916508539,0.5,0.0814747840064295,499.7012023925781
82,512,0.00075,512,SCARF,27918376.0,27659311,0.7778968,0.4842351020009994,0.9177333570244018,,,,
83,512,0.00075,512,SUBTAB,26869800.0,27659311,0.48560643,0.5742537263661683,0.8460162970660902,,,,
84,512,0.001,128,CLIP,25704745.0,25787695,0.27561322,0.6080482242648303,0.7918525221033687,0.9411764705882352,0.955689764780674,0.9055151244745436,514.4422607421875
85,512,0.001,128,CONTROL,,25787695,,,0.8188650634383106,,,,
86,512,0.001,128,GMC,54328528.0,26755759,0.22939013,0.4947816639093448,0.9046191610972748,0.5588235294117647,0.7835664335664336,0.3273340946786591,264.3426208496094
87,512,0.001,128,ICEH,26935465.0,27018415,0.8213224,0.3761441790646607,0.8520244167318668,0.5092165898617511,0.7423076923076923,0.1339285714285714,490.2390441894531
88,512,0.001,128,MCN,25711272.0,25787695,0.37029025,0.6388619726497564,0.7761135996687232,0.633233938736785,0.5829307056579784,0.1722485935302391,351.6932373046875
89,512,0.001,128,SCARF,25803304.0,25787695,0.95006204,0.427470540454988,0.8778894493120631,,,,
90,512,0.001,128,SUBTAB,25737768.0,25787695,0.474753,0.6278232238168899,0.6737364448266867,,,,
91,512,0.001,256,CLIP,25885225.0,26214959,0.33563858,0.5670331913860072,0.9231702183360906,0.948969910544863,0.944723458359822,0.9093644982606264,585.5577392578125
92,512,0.001,256,CONTROL,,26214959,,,0.904730205515042,,,,
93,512,0.001,256,GMC,54394192.0,27068207,0.24955413,0.5088289693987048,0.773457263502416,0.6300487937110328,0.8113477431659251,0.4482098166270727,314.2430419921875
94,512,0.001,256,ICEH,27001129.0,27330863,0.840014,0.4232509521221423,0.8446790656561131,0.9365681756573596,0.9391608391608391,0.5316495093114602,62.94820785522461
95,512,0.001,256,MCN,25898280.0,26214959,0.4076799,0.4669850726360195,0.5178400066494261,0.5100975874220656,0.5042911633820725,0.1208333333333333,1162.7490234375
96,512,0.001,256,SCARF,26278952.0,26214959,0.8199237,0.3819424187585482,0.8313294223161901,,,,
97,512,0.001,256,SUBTAB,26016808.0,26214959,0.4646739,0.5931887132962638,0.9505398627112538,,,,
98,512,0.001,512,CLIP,26344489.0,27659311,0.5472051,0.5815860821940716,0.9511834534808948,0.951274058010301,0.9157978385251112,0.8782434246553755,1419.22314453125
99,512,0.001,512,CONTROL,,27659311,,,0.935146979189686,,,,
100,512,0.001,512,GMC,54525520.0,28184623,0.20029175,0.4954112490767451,0.7625744775522149,0.7058823529411764,0.836427209154482,0.5796539202882277,193.32669067382807
101,512,0.001,512,ICEH,27132457.0,28447279,0.8403747,0.4357246281597216,0.9187127288726435,0.9152886961236107,0.914653528289892,0.2820626967383296,84.26294708251953
102,512,0.001,512,MCN,26370600.0,27659311,0.50793153,0.5233029629762352,0.8480990505654998,0.5100975874220656,0.507120152574698,0.0793650793650793,1341.6334228515625
103,512,0.001,512,SCARF,27918376.0,27659311,0.5242094,0.5923135473094711,0.51998157471944,,,,
104,512,0.001,512,SUBTAB,26869800.0,27659311,0.46784255,0.5811481707110705,0.9088664470763432,,,,
105,512,0.0025,128,CLIP,25704745.0,25787695,0.8820027,0.5085020127453966,0.7517849577642003,0.9558823529411764,0.9559758423394789,0.9205810946038048,240.13943481445312
106,512,0.0025,128,CONTROL,,25787695,,,0.7728169277661313,,,,
107,512,0.0025,128,GMC,54328528.0,26755759,0.38167074,0.5024752886229119,0.6960445820119093,0.5412713472485768,0.6335346471710108,0.1544902384301118,454.9800720214844
108,512,0.0025,128,ICEH,26935465.0,27018415,0.713428,0.4104095120635319,0.8960496238296313,0.5,0.5,0.0806375996249414,3215.438232421875
109,512,0.0025,128,MCN,25711272.0,25787695,0.27727693,0.5916794827383691,0.7146754074764233,0.5,0.4903051493960584,0.0552478902953586,450.1991882324219
110,512,0.0025,128,SCARF,25803304.0,25787695,0.4438268,0.4134929593728038,0.5156488814431245,,,,
111,512,0.0025,128,SUBTAB,25737768.0,25787695,0.45409074,0.5704208499320126,0.8563968522732477,,,,
112,512,0.0025,256,CLIP,25885225.0,26214959,0.49384546,0.5428077449885426,0.896299136570051,0.9705882352941176,0.9548315321042594,0.8841120502350027,248.2071685791016
113,512,0.0025,256,CONTROL,,26214959,,,0.870776230890366,,,,
114,512,0.0025,256,GMC,54394192.0,27068207,0.6311594,0.4551531259269877,0.522381076808833,0.5552995391705069,0.5129688493324858,0.0442774261603375,2681.67333984375
115,512,0.0025,256,ICEH,27001129.0,27330863,0.84893507,0.3868603958996534,0.8718763674624078,0.7388181078883167,0.6690400508582327,0.1195601851851851,1270.8167724609375
116,512,0.0025,256,MCN,25898280.0,26214959,0.50649595,0.3748364271081566,0.6150517221814099,0.5060314448359989,0.5625556261919898,0.0843881856540084,1219.9202880859375
117,512,0.0025,256,SCARF,26278952.0,26214959,0.4923995,0.5294450665838475,0.4438901680075014,,,,
118,512,0.0025,256,SUBTAB,26016808.0,26214959,0.47726277,0.5928381700939083,0.7878139564283424,,,,
119,512,0.0025,512,CLIP,26344489.0,27659311,0.54098,0.5158389276108454,0.6901128063165565,0.9558823529411764,0.941163382072473,0.9060167702805456,579.1832885742188
120,512,0.0025,512,CONTROL,,27659311,,,0.6664210062134306,,,,
121,512,0.0025,512,GMC,54525520.0,28184623,0.79511315,0.3684954031363789,0.7919112122460925,0.5023041474654378,0.5143992371265098,0.0830139474917956,2650.0
122,512,0.0025,512,ICEH,27132457.0,28447279,0.60197,0.3864336480861001,0.5673973569527313,0.5296150718351856,0.5905594405594405,0.0920138888888888,1061.6534423828125
123,512,0.0025,512,MCN,26370600.0,27659311,0.57072437,0.3471913989476388,0.5918070710871414,0.5,0.5,0.0640873015873016,1683.0677490234375
124,512,0.0025,512,SCARF,27918376.0,27659311,0.42572874,0.3996584653762002,0.5525484870565142,,,,
125,512,0.0025,512,SUBTAB,26869800.0,27659311,0.47639856,0.6117417812896303,0.8067632127477858,,,,
126,512,0.005,128,CLIP,25704745.0,25787695,0.96458334,0.49515828221836,0.8447147963663076,0.9319598807264842,0.907533375715194,0.8483153018591403,228.187255859375
127,512,0.005,128,CONTROL,,25787695,,,0.5303841984555017,,,,
128,512,0.005,128,GMC,54328528.0,26755759,0.5493411,0.35413133412569,0.3891414326924799,0.4601518026565465,0.5215193897012078,0.0465893108298171,2677.489990234375
129,512,0.005,128,ICEH,26935465.0,27018415,0.7447745,0.4431413311593294,0.6254882898433004,0.5,0.5676414494596312,0.0893849206349206,2416.832763671875
130,512,0.005,128,MCN,25711272.0,25787695,0.25885934,0.6110435816117492,0.5891386803477611,0.5294117647058824,0.6386840432294978,0.0816798941798941,476.3944091796875
131,512,0.005,128,SCARF,25803304.0,25787695,0.9692822,0.3683183621707389,0.6178568143675379,,,,
132,512,0.005,128,SUBTAB,25737768.0,25787695,0.43935198,0.5477884735983947,0.5927682018080864,,,,
133,512,0.005,256,CLIP,25885225.0,26214959,0.9882552,0.5689315377892451,0.6977621396817434,0.8772024939007861,0.7237444373808011,0.3477881342410381,1332.6693115234375
134,512,0.005,256,CONTROL,,26214959,,,0.4399640005255834,,,,
135,512,0.005,256,GMC,54394192.0,27068207,0.6678349,0.3300171959330996,0.3819621530204121,0.5,0.5005721551176097,0.0878486872948898,3112.1513671875
136,512,0.005,256,ICEH,27001129.0,27330863,0.45477545,0.3476460634004846,0.5032165353703671,0.6263892653835728,0.514240305149396,0.1070261437908496,2067.62939453125
137,512,0.005,256,MCN,25898280.0,26214959,0.24496228,0.5279063167555579,0.5592553439286163,0.5,0.6518118245390974,0.11105989512542,349.10357666015625
138,512,0.005,256,SCARF,26278952.0,26214959,0.88835555,0.3452424153741099,0.3905827355817949,,,,
139,512,0.005,256,SUBTAB,26016808.0,26214959,0.44069833,0.6250758512360168,0.3984944425531406,,,,
140,512,0.005,512,CLIP,26344489.0,27659311,0.42215255,0.5241987441742866,0.6498530257874294,0.934264028191922,0.9196439923712652,0.8481018813995358,61.85258865356445
141,512,0.005,512,CONTROL,,27659311,,,0.6454789129582181,,,,
