,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
109,1024,0.001,32,MCN,12224.0,17250,0.71064746,0.6126604484480123,0.7805683171366643,11.35947608947754,614.75,6.952616691589356,0.2962084710597992,3237893.25,1.57580304145813,9.830147743225098,10.812986373901367
110,1024,0.001,32,SCARF,18240.0,17250,0.7359748,0.572595761944652,0.8097749120045679,,,,,,,,
111,1024,0.001,32,SUBTAB,13120.0,17250,0.7109421,0.6226592463759405,0.811077469788548,,,,,,,,
112,1024,0.001,64,CLIP,34305.0,67266,0.7093439,0.6950052027181854,0.8034424338954272,6.020409107208252,209.875,1.265593409538269,0.2566173374652862,3380730.5,0.8260202407836914,9.40125846862793,8.111021041870117
113,1024,0.001,64,CONTROL,,67266,,,0.798574981123712,,,,,,,,
114,1024,0.001,64,GMC,424256.0,191874,0.96192527,0.7890757944005979,0.801845931925156,5.227346420288086,209.5625,2.331262826919556,0.252457320690155,3655091.25,0.4098135232925415,17.819889068603516,12.809946060180664
115,1024,0.001,64,ICEH,175425.0,208386,0.72110665,0.6517202778289075,0.8040782173271177,8.342888832092285,260.25,3.187453508377075,0.2932343780994415,2297220.0,1.1853690147399902,8.899999618530273,10.812986373901367
116,1024,0.001,64,MCN,40832.0,67266,0.7098681,0.6803446190370652,0.8063630933822177,8.886610984802246,260.0,4.574087142944336,0.2930102050304413,3237893.25,0.4640564322471618,9.830147743225098,10.812986373901367
117,1024,0.001,64,SCARF,71296.0,67266,0.78902715,0.6785368153354344,0.7866068510595139,,,,,,,,
118,1024,0.001,64,SUBTAB,50816.0,67266,0.71094877,0.6281408828468071,0.7919795497488796,,,,,,,,
119,1024,0.001,128,CLIP,134145.0,265602,0.7096193,0.6250539993313474,0.8040913649904022,6.200521469116211,222.5625,1.0249242782592771,0.2536171376705169,4802495.5,0.9192693829536438,11.579147338867188,10.812986373901367
120,1024,0.001,128,CONTROL,,265602,,,0.8024028293771388,,,,,,,,
121,1024,0.001,128,GMC,432512.0,298626,0.9872567,0.7842252457673915,0.7979166588406765,5.374276161193848,163.5625,2.4071526527404785,0.2520440518856048,3699369.5,0.4422972798347473,15.196392059326172,15.099014282226562
122,1024,0.001,128,ICEH,183681.0,315138,0.73460037,0.6402611501575841,0.8020741377950242,8.659632682800293,120.25,2.378823757171631,0.2491471767425537,3019295.0,0.4876070916652679,7.286149978637695,10.812986373901367
123,1024,0.001,128,MCN,147200.0,265602,0.7089348,0.7143876757560845,0.8044116045032625,18.458717346191406,562.25,6.653814315795898,0.3009502291679382,3237893.25,0.6106972098350525,18.53539085388184,10.812986373901367
124,1024,0.001,128,SCARF,281856.0,265602,0.86245954,0.5171295270222045,0.7627335118911223,,,,,,,,
125,1024,0.001,128,SUBTAB,199936.0,265602,0.71091974,0.6333727137152667,0.7926369329131089,,,,,,,,
126,1024,0.002,32,CLIP,8961.0,17250,0.70962834,0.6911022249602753,0.8065340130049172,4.970227718353272,255.625,1.3063517808914185,0.0074193100444972,3253106.75,0.9566134214401244,10.156158447265623,8.111021041870117
127,1024,0.002,32,CONTROL,,17250,,,0.8037232304184339,,,,,,,,
128,1024,0.002,32,GMC,420128.0,163074,0.5391041,0.63160904859752,0.8068279571912084,7.300717353820801,272.875,3.2143726348876958,0.2849881947040558,3569720.75,1.2507460117340088,12.572893142700195,11.973152160644531
129,1024,0.002,32,ICEH,171297.0,179586,0.72718966,0.5478537378806718,0.7969737835594105,7.548680782318115,134.5,2.7802882194519043,0.2610467076301574,3237893.25,0.3525538742542267,7.453099250793457,9.889921188354492
130,1024,0.002,32,MCN,12224.0,17250,0.7104775,0.6232818821443463,0.8024122205651993,14.095599174499512,260.0,4.051933288574219,0.2727315127849579,3237893.25,0.898179829120636,9.830147743225098,10.812986373901367
131,1024,0.002,32,SCARF,18240.0,17250,0.8522582,0.498833614442896,0.7985787375989362,,,,,,,,
132,1024,0.002,32,SUBTAB,13120.0,17250,0.7110246,0.6087180277002484,0.7923608319841327,,,,,,,,
133,1024,0.002,64,CLIP,34305.0,67266,0.70465803,0.7313556743436499,0.8052971935373601,5.0130109786987305,211.9375,0.8776574730873108,0.0027630433905869,1770490.25,0.6331313848495483,10.085084915161133,6.037926197052002
134,1024,0.002,64,CONTROL,,67266,,,0.8053629318537829,,,,,,,,
135,1024,0.002,64,GMC,424256.0,191874,0.57663083,0.6245233972059338,0.8000963535894999,5.65891170501709,160.1875,2.681647062301636,0.2649292349815368,4391430.0,0.8123409748077393,11.8096923828125,9.033178329467772
136,1024,0.002,64,ICEH,175425.0,208386,0.7272633,0.7253424966285635,0.8034687292219964,12.73954963684082,124.0625,2.4475655555725098,0.2750025987625122,5523161.5,0.5666612982749939,7.453099250793457,12.392295837402344
137,1024,0.002,64,MCN,40832.0,67266,0.7089664,0.7085332091192192,0.803258366609443,8.424094200134277,562.25,3.976130723953247,0.2979389131069183,3237893.25,0.5983044505119324,9.830147743225098,10.812986373901367
138,1024,0.002,64,SCARF,71296.0,67266,0.8284319,0.6698011322016326,0.8011838531668964,,,,,,,,
139,1024,0.002,64,SUBTAB,50816.0,67266,0.71095777,0.6280094062139614,0.7752660523577517,,,,,,,,
140,1024,0.002,128,CLIP,134145.0,265602,0.7089171,0.7357761065636892,0.8070383198037617,3.296602487564087,163.8125,1.2765953540802002,0.25206059217453,834615.6875,0.9691566824913024,7.524650573730469,6.037926197052002
141,1024,0.002,128,CONTROL,,265602,,,0.8050605355982374,,,,,,,,
142,1024,0.002,128,GMC,432512.0,298626,0.7113418,0.4889954058308008,0.8074505929596141,7.076460361480713,359.9375,2.4417290687561035,0.2450266182422638,2675652.5,0.5043944120407104,11.025203704833984,4.921905994415283
143,1024,0.002,128,ICEH,183681.0,315138,0.75272185,0.716233983328763,0.8018064889353023,7.238927841186523,231.75,2.810001373291016,0.247311070561409,5102133.5,0.6038661599159241,10.807994842529297,11.856544494628906
144,1024,0.002,128,MCN,147200.0,265602,0.70472825,0.753382705939363,0.8024995586141612,10.11874008178711,562.25,11.175691604614258,0.2751483023166656,3019395.75,0.4333958625793457,18.53539085388184,12.794678688049316
145,1024,0.002,128,SCARF,281856.0,265602,0.8739607,0.5164805959272296,0.7767752162790611,,,,,,,,
