,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Recommended IND,Division Name,Department Name,Class Name,Age,Positive Feedback Count
39,128,0.00075,256,MCN,109823488.0,110346245,0.33773488,0.3848857382792155,0.3344682344682345,0.4852941176470588,0.6190476190476191,0.4473684210526316,0.1477272727272727,342.3999938964844,34.93333435058594
40,128,0.00075,256,SCARF,110410752.0,110346245,0.4456916,0.3772786883225827,0.3279396279396279,,,,,,
41,128,0.00075,256,SUBTAB,110083072.0,110346245,0.27926928,0.394551700066759,0.3611521487925982,,,,,,
42,128,0.001,128,CLIP,109618561.0,109750405,0.71842635,0.3518235063379453,0.3435240435240435,0.4812834224598931,0.6135531135531135,1.0,0.4069444444444444,713.7777709960938,367.977783203125
43,128,0.001,128,CONTROL,,109750405,,,0.3266409266409266,,,,,,
44,128,0.001,128,GMC,223267456.0,110880901,0.3553461,0.3896400021563618,0.3298350298350298,0.5,0.3809523809523809,0.6428571428571428,0.2083333333333333,834.5777587890625,29.511110305786133
45,128,0.001,128,ICEH,111011713.0,111143557,0.8932221,0.3433241578510767,0.3478764478764479,0.5267379679144385,0.3864468864468864,1.0,0.3333333333333333,652.3555297851562,607.5777587890625
46,128,0.001,128,MCN,109620096.0,109750405,0.45295233,0.3648222424951882,0.3359369272147791,0.446524064171123,0.4208791208791209,1.0,0.3333333333333333,230.1777801513672,29.177778244018555
47,128,0.001,128,SCARF,109766272.0,109750405,0.48253396,0.3876180831417321,0.3459731709588879,,,,,,
48,128,0.001,128,SUBTAB,109684352.0,109750405,0.25136137,0.3825891539873071,0.3266409266409266,,,,,,
49,128,0.001,256,CLIP,109820417.0,110346245,0.6853855,0.3670473733434385,0.3276939276939277,0.4024064171122994,0.5553113553113553,1.0,0.3444444444444444,783.4666748046875,348.1555480957031
50,128,0.001,256,CONTROL,,110346245,,,0.3442260442260442,,,,,,
