,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,KWG,KWI,STRM,STRN,SA,SB,Run2,Run3,Run4
142,4096,0.002,128,GMC,284288.0,232577,0.8702367,0.0003763859,0.0005502591,0.5690696549343369,0.5447646145703456,0.5343621968716978,0.5180089280254387,0.6460262357077438,0.5732570247018425,32446.15234375,32565.080078125,32930.1484375
143,4096,0.002,128,ICEH,101377.0,249089,0.8140703,0.00026810516,0.13187796,0.5582295267684798,0.4999188918135198,0.5480054260375953,0.5041514638836231,0.5685437409519307,0.5176147398737215,360.99700927734375,194.4193878173828,80.41010284423828
144,4096,0.002,128,MCN,104192.0,199553,0.69819885,0.00045299783,0.006962752,0.5,0.5,0.4859352249037638,0.5016544704675323,0.4841271013679203,0.4941660820440867,102254.7578125,140955.5625,91568.921875
145,4096,0.002,128,SCARF,215936.0,199553,0.7172835,0.00047864468,0.0046687806,,,,,,,,,
146,4096,0.002,128,SUBTAB,117632.0,199553,0.83424807,0.00030719556,0.00463363,,,,,,,,,
147,4096,0.003,32,CLIP,3745.0,13025,0.83184636,0.00030646272,0.0021531936,0.5,0.5055055881764393,0.500950176934082,0.4994632313472893,0.5508065707448223,0.549588302625263,35509.35546875,46791.03125,791966.375
148,4096,0.003,32,CONTROL,,13025,,,0.008773459,,,,,,,,,
149,4096,0.003,32,GMC,271904.0,81761,0.8353062,0.00036761066,0.0022031753,0.499047629466478,0.5008605164164154,0.4986344806846591,0.501460826080162,0.4964945194551954,0.505056308385334,2206124.75,1975890.875,2348951.0
150,4096,0.003,32,ICEH,88993.0,98273,0.83512926,0.0002680267,0.9373266,0.5435294718263635,0.5,0.5052598711020664,0.5010939209251446,0.5026737967914439,0.5013698630136987,26779.53515625,16008.326171875,9748.8779296875
151,4096,0.003,32,MCN,16832.0,13025,0.64103293,0.0004731111,0.0009761678,0.5025678146165478,0.506286180467491,0.5226531456868052,0.5104160296785503,0.5973690430466512,0.5551054166820515,22792.734375,46391.6015625,29483.95703125
152,4096,0.003,32,SCARF,14048.0,13025,0.7282905,0.0003504128,0.00083112693,,,,,,,,,
153,4096,0.003,32,SUBTAB,7904.0,13025,0.83424395,0.00031511954,0.001592115,,,,,,,,,
154,4096,0.003,64,CLIP,13633.0,50625,0.82997876,0.0002798128,0.0012038362,0.5,0.5,0.5,0.5,0.5440038999025024,0.504953660968135,6949.89111328125,13878.125,6303.6455078125
155,4096,0.003,64,CONTROL,,50625,,,0.004386212,,,,,,,,,
156,4096,0.003,64,GMC,276032.0,113601,0.833764,0.0028618856,0.0032851093,0.5,0.5103972406639741,0.5042278664015486,0.5088091209903721,0.5045129553579343,0.5094856552080641,1194262.0,1630755.75,1141542.625
157,4096,0.003,64,ICEH,93121.0,130113,0.8071091,0.00027412153,1.0441252,0.5554872830880386,0.5196530464116436,0.535114746456518,0.4917208531224308,0.569279404378527,0.5203876970793486,6379.22802734375,947.5855712890624,2243.7841796875
158,4096,0.003,64,MCN,39808.0,50625,0.43454862,0.0005122268,0.0017522871,0.4925232531567406,0.5,0.5,0.4949074923391562,0.5022439211746978,0.5032204704057897,168513.8125,168445.671875,168698.765625
159,4096,0.003,64,SCARF,54720.0,50625,0.79671067,0.000327904,0.0015643302,,,,,,,,,
160,4096,0.003,64,SUBTAB,30144.0,50625,0.83357817,0.0003156317,0.0022439125,,,,,,,,,
161,4096,0.003,128,CLIP,51841.0,199553,0.83115816,0.0002725203,0.0041524624,0.543370844698572,0.5001272865700236,0.5420677433467674,0.4994972040468279,0.6145182734068011,0.5996027028024961,28990.916015625,11991.6796875,301109.21875
162,4096,0.003,128,CONTROL,,199553,,,0.045891635,,,,,,,,,
163,4096,0.003,128,GMC,284288.0,232577,0.8342767,0.0002670895,0.00073796953,0.495056425067219,0.491514722023892,0.4905809446469131,0.51188365029862,0.5103834904127397,0.5023261824760921,1559311.625,1812713.5,842451.75
164,4096,0.003,128,ICEH,101377.0,249089,0.8338212,0.00030372464,0.030109972,0.5,0.5,0.5,0.5,0.5,0.5,158376.96875,8050477.0,159716.921875
165,4096,0.003,128,MCN,104192.0,199553,0.5251756,0.0004766808,0.013387527,0.5134687194597196,0.5131007482082195,0.4947553423635344,0.5115982796224954,0.5058616716400272,0.5074112912158919,168513.8125,163574.09375,168698.765625
166,4096,0.003,128,SCARF,215936.0,199553,0.859471,0.00032727257,0.0021182047,,,,,,,,,
167,4096,0.003,128,SUBTAB,117632.0,199553,0.8339817,0.00028558937,0.03718562,,,,,,,,,
168,4096,0.005,32,CLIP,3745.0,13025,0.828969,0.0002937887,0.00060729607,0.5596893825575798,0.5,0.5030360464604469,0.4979786243774503,0.560724731881703,0.5024125835394897,275749.15625,24531.6953125,41243.48828125
169,4096,0.005,32,CONTROL,,13025,,,0.03411326,,,,,,,,,
170,4096,0.005,32,GMC,271904.0,81761,0.8338573,0.00027358372,0.396537,0.5,0.498371027918977,0.4988415610610904,0.488214870530042,0.4881481372056607,0.4833305025292619,370084.125,1307668.375,2299094.5
171,4096,0.005,32,ICEH,88993.0,98273,0.83495545,0.0002714602,0.001242162,0.5,0.5,0.5,0.5,0.5,0.5,97886.890625,168527.890625,166918.1875
172,4096,0.005,32,MCN,16832.0,13025,0.27278933,0.0004880439,0.0026404362,0.5069425198496628,0.4817068477806551,0.5000849295409757,0.4983896940418679,0.4924188258929891,0.4978828047114426,132122.203125,168527.890625,347322.4375
173,4096,0.005,32,SCARF,14048.0,13025,0.8138269,0.00040658485,0.0011679948,,,,,,,,,
174,4096,0.005,32,SUBTAB,7904.0,13025,0.83410525,0.0002963032,0.39188823,,,,,,,,,
175,4096,0.005,64,CLIP,13633.0,50625,0.83364064,0.0002762516,0.00067975326,0.5320761069864006,0.5051047834885045,0.5,0.490457068699593,0.5,0.5067341136506296,35365.375,103769.015625,5689.4501953125
176,4096,0.005,64,CONTROL,,50625,,,0.0027775313,,,,,,,,,
177,4096,0.005,64,GMC,276032.0,113601,0.8346494,0.0002749261,0.033831887,0.5,0.4932606201401691,0.5000651372653397,0.4976151164923867,0.4830738322451029,0.4966436509987815,335188.25,1027480.5,487154.4375
