,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Hour,Month,DayofWeek,Environment_Type,Altitude_m,PM_sub_2_5_sub_particulate_matter_Hourly_measured
116,4096,0.001,64,MCN,37760.0,36289,0.12068397,0.38261276,0.1447541,0.0481827213086227,0.1373454050684461,0.161170527200305,0.4514021559655439,4873.853515625,518.8511962890625
117,4096,0.001,64,SCARF,40384.0,36289,0.14380819,0.38494503,0.14758262,,,,,,
118,4096,0.001,64,SUBTAB,19904.0,36289,0.8179959,0.17330113,0.14875247,,,,,,
119,4096,0.001,128,CLIP,39553.0,138113,0.40385652,0.17370664,0.1459032,0.0501720481974965,0.1369172379269866,0.1596861378430999,0.4788469848993849,13377.2578125,1388.7828369140625
120,4096,0.001,128,CONTROL,,138113,,,0.14539461,,,,,,
121,4096,0.001,128,GMC,210560.0,171137,0.08895406,0.23238805,0.1412536,0.044325783484361,0.1254008952769217,0.1630943084194112,0.3605316450748113,2214.6103515625,124.63761901855467
122,4096,0.001,128,ICEH,89089.0,187649,0.853978,0.1649878,0.1407186,0.0419314601977804,0.1023169782630378,0.1823258658003176,0.3833818296389651,3030.401123046875,3314.74267578125
123,4096,0.001,128,MCN,91904.0,138113,0.5400503,0.2799387,0.14446333,0.0429453364246254,0.1215952220890972,0.1561582950876993,0.4512723714893628,2409.203125,141.7200927734375
124,4096,0.001,128,SCARF,154496.0,138113,0.11806117,0.3990429,0.14497854,,,,,,
125,4096,0.001,128,SUBTAB,72576.0,138113,0.5991249,0.15873295,0.15014374,,,,,,
126,4096,0.002,32,CLIP,3745.0,9953,0.317904,0.18543313,0.15190047,0.0474838414860792,0.1469796197126866,0.1704893603170754,0.4662726263209426,4307.85546875,774.5501098632812
127,4096,0.002,32,CONTROL,,9953,,,0.14806746,,,,,,
128,4096,0.002,32,GMC,198176.0,66401,0.0925427,0.2203154,0.14244455,0.0474367805892923,0.1250398480201832,0.1687553089231205,0.4081506583381996,2500.252197265625,124.70974731445312
129,4096,0.002,32,ICEH,76705.0,82913,0.84183836,0.16546327,0.14505418,0.0437630332221848,0.0969793816035229,0.1560074707013437,0.5305764912179927,2536.15673828125,5215.892578125
130,4096,0.002,32,MCN,16832.0,9953,0.15952122,0.35538656,0.1525781,0.0442655245369423,0.1315778903947513,0.1718063970963555,0.4493987108321586,8956.943359375,586.6328125
131,4096,0.002,32,SCARF,10976.0,9953,0.1202115,0.31935987,0.15591496,,,,,,
132,4096,0.002,32,SUBTAB,5856.0,9953,0.8258307,0.17433831,0.1590567,,,,,,
133,4096,0.002,64,CLIP,11585.0,36289,0.71223027,0.17426905,0.1471066,0.0498571436902171,0.1391468176393674,0.1729193015376997,0.4628617809167089,14641.3125,1451.0780029296875
134,4096,0.002,64,CONTROL,,36289,,,0.14988989,,,,,,
135,4096,0.002,64,GMC,202304.0,89025,0.082699366,0.22934346,0.14097774,0.0412156342445486,0.1292833910703742,0.1730650335245904,0.3317372905343611,2285.5439453125,139.7726593017578
136,4096,0.002,64,ICEH,80833.0,105537,0.9262068,0.16855311,0.14000638,0.0423884785645077,0.1160555451662758,0.172014382517683,0.6158892045916686,3086.728759765625,419.9129028320313
137,4096,0.002,64,MCN,37760.0,36289,0.11293227,0.40910286,0.14592518,0.0429824225288207,0.1326728957740527,0.1586130636981555,0.5605210845424704,3266.686767578125,811.92724609375
138,4096,0.002,64,SCARF,40384.0,36289,0.08777276,0.35395247,0.14584912,,,,,,
139,4096,0.002,64,SUBTAB,19904.0,36289,0.82551795,0.16509399,0.14687158,,,,,,
140,4096,0.002,128,CLIP,39553.0,138113,0.48060274,0.17834182,0.14159808,0.0429238672517594,0.142638563177016,0.1616873016021968,0.6685541215051645,2724.089599609375,1079.731689453125
141,4096,0.002,128,CONTROL,,138113,,,0.1456543,,,,,,
142,4096,0.002,128,GMC,210560.0,171137,0.07317491,0.23070523,0.13990355,0.0490711747681702,0.1244018700339347,0.1717513497459185,0.3497455010794237,2597.781005859375,140.9131317138672
143,4096,0.002,128,ICEH,89089.0,187649,0.91135013,0.17229183,0.14767203,0.0450403340396475,0.0974860765255576,0.1746562143433295,0.6423230760542913,3317.841796875,416.7009887695313
144,4096,0.002,128,MCN,91904.0,138113,0.12381848,0.30637184,0.14649065,0.040603978092729,0.1353900365746699,0.1566655684969613,0.4334614744488009,2658.58740234375,313.96893310546875
145,4096,0.002,128,SCARF,154496.0,138113,0.22182532,0.2812607,0.14563791,,,,,,
146,4096,0.002,128,SUBTAB,72576.0,138113,0.82636243,0.16192253,0.16032653,,,,,,
147,4096,0.003,32,CLIP,3745.0,9953,0.35984147,0.17627795,0.1512125,0.0484776400874084,0.1376600242230484,0.1755333434348829,0.4787340850774981,3950.8916015625,1160.858642578125
148,4096,0.003,32,CONTROL,,9953,,,0.15276991,,,,,,
149,4096,0.003,32,GMC,198176.0,66401,0.08464576,0.2202193,0.14887041,0.0468686627656841,0.1200950995400331,0.1657644658055351,0.342945991577243,2530.201416015625,118.1971664428711
150,4096,0.003,32,ICEH,76705.0,82913,0.9507115,0.17300038,0.14512098,0.0435262892708915,0.1039478917574364,0.154048655678117,0.7744688488562641,3425.681884765625,3071.17431640625
151,4096,0.003,32,MCN,16832.0,9953,0.13875769,0.41259027,0.15099935,0.0397708709793135,0.121080800077943,0.165863077763998,0.4352575046662169,4685.578125,622.1026611328125
152,4096,0.003,32,SCARF,10976.0,9953,0.13324445,0.3607665,0.1548296,,,,,,
153,4096,0.003,32,SUBTAB,5856.0,9953,0.5329679,0.1725257,0.1502076,,,,,,
154,4096,0.003,64,CLIP,11585.0,36289,0.37677178,0.1688681,0.1465487,0.0525544276094215,0.141036158701192,0.1701160945588063,0.6481684730597906,3224.713623046875,1066.8577880859375
155,4096,0.003,64,CONTROL,,36289,,,0.15799975,,,,,,
156,4096,0.003,64,GMC,202304.0,89025,0.084851205,0.21984485,0.14095983,0.0449926081576054,0.12711110138857,0.1692265741576711,0.3314246726031966,1997.2513427734373,145.77699279785156
157,4096,0.003,64,ICEH,80833.0,105537,0.9314184,0.16541125,0.14622581,0.0469221745587219,0.1068424009724443,0.1706682016610776,0.5779113586505533,3465.180908203125,3203.11669921875
158,4096,0.003,64,MCN,37760.0,36289,0.13397428,0.39510345,0.14539355,0.0429388291455555,0.1292021584161346,0.164744437518341,0.5315184765907577,4304.46240234375,318.84088134765625
159,4096,0.003,64,SCARF,40384.0,36289,0.19683333,0.21849316,0.15203395,,,,,,
160,4096,0.003,64,SUBTAB,19904.0,36289,0.62937427,0.16175362,0.14796777,,,,,,
161,4096,0.003,128,CLIP,39553.0,138113,0.46278512,0.1779287,0.14466886,0.049443521075217,0.1332941234051917,0.174230628336846,0.6969485135788839,2508.00537109375,966.6039428710938
162,4096,0.003,128,CONTROL,,138113,,,0.15030171,,,,,,
163,4096,0.003,128,GMC,210560.0,171137,0.092175975,0.2293291,0.13941942,0.0460631882444896,0.1264697726524881,0.1697286516532145,0.3590871454333691,2229.16064453125,176.4762420654297
164,4096,0.003,128,ICEH,89089.0,187649,0.9016912,0.16641612,0.14190438,0.04514999377494,0.1122675693561333,0.1651122235768532,0.7031634745969089,2393.107177734375,590.7955932617188
165,4096,0.003,128,MCN,91904.0,138113,0.25201112,0.23216324,0.14640619,0.0431830350333092,0.1417326229701357,0.1639988593951403,0.4692001263515644,3324.46337890625,160.45462036132812
166,4096,0.003,128,SCARF,154496.0,138113,0.268485,0.20312867,0.14648326,,,,,,
167,4096,0.003,128,SUBTAB,72576.0,138113,0.60685474,0.1584746,0.14998774,,,,,,
168,4096,0.005,32,CLIP,3745.0,9953,0.29502478,0.17608465,0.15488905,0.0474495871303448,0.1389101492338667,0.1609063988233763,0.457589514952886,3316.49072265625,1043.388427734375
169,4096,0.005,32,CONTROL,,9953,,,0.1497878,,,,,,
170,4096,0.005,32,GMC,198176.0,66401,0.089265004,0.21102433,0.14502719,0.0474642068312754,0.1150552122340751,0.1547238292357628,0.3451922059310119,2115.634521484375,153.16818237304688
171,4096,0.005,32,ICEH,76705.0,82913,0.75609773,0.17200376,0.15032996,0.0426059142211954,0.1143969283063625,0.1503804466064977,0.7654291714374202,2567.709716796875,1256.23095703125
172,4096,0.005,32,MCN,16832.0,9953,0.14749828,0.39841947,0.15059608,0.0455386674460787,0.1351451422132883,0.1533970672646264,0.4500119383187751,3103.399169921875,299.730712890625
173,4096,0.005,32,SCARF,10976.0,9953,0.14272526,0.29384664,0.14872555,,,,,,
174,4096,0.005,32,SUBTAB,5856.0,9953,0.81911564,0.16038947,0.14876722,,,,,,
