,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V6,V10,V12,V13,V14,V15
84,1024,0.0007,32,CLIP,7841.0,15106,0.8280189,0.7294561674386688,0.749814147652542,467.0294189453125,6514036.0,220.6470642089844,1361911.5,36.882354736328125,29600.412109375,4.529411792755127
85,1024,0.0007,32,CONTROL,,15106,,,0.7585492079830731,,,,,,,
86,1024,0.0007,32,GMC,370208.0,145282,0.6635537,0.76968605249614,0.7647716875393149,183.4411773681641,2811648.5,69.67646789550781,163861.328125,7.352941036224365,29302.912109375,2.8235294818878174
87,1024,0.0007,32,ICEH,154529.0,161794,0.64980775,0.7523696174300909,0.770568851146566,915.3235473632812,6399490.5,206.4411773681641,1370758.625,8.029411315917969,263374.78125,1.7941176891326904
88,1024,0.0007,32,MCN,11104.0,15106,0.8168055,0.7384342654543374,0.7508041688111169,512.941162109375,3314160.5,231.55882263183597,276215.0,21.08823585510254,29302.912109375,2.529411792755127
89,1024,0.0007,32,SCARF,16096.0,15106,0.82206064,0.7555255332532739,0.7649468176359582,,,,,,,
90,1024,0.0007,32,SUBTAB,9952.0,15106,0.82409567,0.7379767827529021,0.7325620460913822,,,,,,,
91,1024,0.0007,64,CLIP,30017.0,58882,0.8262858,0.7418832561331274,0.7463401383885172,776.4117431640625,6058580.5,212.58824157714844,1512558.875,11.735294342041016,32814.3828125,4.529411792755127
92,1024,0.0007,64,CONTROL,,58882,,,0.7447425230170984,,,,,,,
93,1024,0.0007,64,GMC,374336.0,171010,0.63798594,0.7315219877623378,0.7769235717961915,169.2941131591797,2809306.5,67.0882339477539,223682.828125,6.911764621734619,28533.529296875,2.8235294818878174
94,1024,0.0007,64,ICEH,158657.0,187522,0.72455126,0.7431735003145193,0.7664121919139932,1109.1470947265625,10617816.0,218.55882263183597,1661066.75,7.0,25738.205078125,9.411765098571776
95,1024,0.0007,64,MCN,36544.0,58882,0.8143425,0.7209355521244354,0.7566084805855778,512.941162109375,3335599.5,240.2941131591797,301843.3125,9.382352828979492,29302.912109375,2.8529412746429443
96,1024,0.0007,64,SCARF,62912.0,58882,0.86665267,0.7565584434151085,0.7365435752273117,,,,,,,
97,1024,0.0007,64,SUBTAB,38336.0,58882,0.82672936,0.7449390976153714,0.7286055355406873,,,,,,,
98,1024,0.0007,128,CLIP,117377.0,232450,0.82990974,0.7369438725910678,0.7658546348716189,719.2941284179688,6134489.0,208.1764678955078,955537.5,9.235294342041016,18237.470703125,5.705882549285889
99,1024,0.0007,128,CONTROL,,232450,,,0.7628309601418197,,,,,,,
100,1024,0.0007,128,GMC,382592.0,265474,0.6517079,0.7471049922799794,0.7891755303940069,1059.441162109375,3007781.75,67.5,222730.140625,7.352941036224365,29302.912109375,2.8235294818878174
101,1024,0.0007,128,ICEH,166913.0,281986,0.68190557,0.7337450677646251,0.7721342997655402,1382.0,6401996.5,225.8529357910156,1417808.375,7.176470756530762,25738.205078125,9.411765098571776
102,1024,0.0007,128,MCN,130432.0,232450,0.80940336,0.7513617258534911,0.7589352090124093,1262.2059326171875,3335599.5,161.4705810546875,271142.65625,9.441176414489746,29302.912109375,2.7352941036224365
103,1024,0.0007,128,SCARF,248704.0,232450,0.7282181,0.7594570252187339,0.708465574426717,,,,,,,
104,1024,0.0007,128,SUBTAB,150400.0,232450,0.82322145,0.7475052896437353,0.7587993938354205,,,,,,,
105,1024,0.001,32,CLIP,7841.0,15106,0.8227139,0.7427910733687882,0.7544104191685252,1030.9705810546875,6109661.0,220.61764526367188,1361911.5,14.852941513061523,91412.3203125,5.205882549285889
106,1024,0.001,32,CONTROL,,15106,,,0.7535597872705438,,,,,,,
107,1024,0.001,32,GMC,370208.0,145282,0.7150862,0.7705938697318008,0.7937896723280151,185.0,2882368.5,61.5,178813.671875,7.352941036224365,29302.912109375,2.382352828979492
108,1024,0.001,32,ICEH,154529.0,161794,0.6596945,0.7375514668039115,0.7658045977011494,512.941162109375,11653781.0,220.3235321044922,789839.5,9.264705657958984,25738.205078125,9.411765098571776
109,1024,0.001,32,MCN,11104.0,15106,0.82137895,0.7455645622462401,0.7594320066334992,521.7647094726562,3335599.5,201.9705810546875,421156.375,9.441176414489746,29302.912109375,2.3529412746429443
110,1024,0.001,32,SCARF,16096.0,15106,0.7577306,0.7545676788471436,0.7486883113169782,,,,,,,
111,1024,0.001,32,SUBTAB,9952.0,15106,0.81516486,0.7373191513695889,0.758574226568308,,,,,,,
112,1024,0.001,64,CLIP,30017.0,58882,0.8251876,0.7455395436610053,0.7482629953679876,638.441162109375,7485943.0,164.76470947265625,1441563.75,7.0,47432.765625,5.323529243469238
113,1024,0.001,64,CONTROL,,58882,,,0.7448890604449019,,,,,,,
114,1024,0.001,64,GMC,374336.0,171010,0.6933085,0.7649718362211928,0.787992508720764,177.4705810546875,3047230.75,72.20587921142578,197709.765625,6.970588207244873,29302.912109375,2.8235294818878174
115,1024,0.001,64,ICEH,158657.0,187522,0.66772366,0.7452143020529536,0.7712014639446446,969.058837890625,6407036.5,229.11764526367188,1245196.875,6.882352828979492,308716.25,9.411765098571776
116,1024,0.001,64,MCN,36544.0,58882,0.8242936,0.7381018756790758,0.7347350889232,512.941162109375,3335599.5,165.88235473632812,370714.875,9.441176414489746,29302.912109375,2.8529412746429443
117,1024,0.001,64,SCARF,62912.0,58882,0.74404585,0.7657295419454452,0.7451070795448047,,,,,,,
118,1024,0.001,64,SUBTAB,38336.0,58882,0.811378,0.7483630697089266,0.759549951392463,,,,,,,
119,1024,0.001,128,CLIP,117377.0,232450,0.82783324,0.740850345971293,0.7632634242580203,575.5294189453125,6573184.0,218.9411773681641,1581430.5,12.147058486938477,18237.470703125,4.529411792755127
120,1024,0.001,128,CONTROL,,232450,,,0.762198347343741,,,,,,,
121,1024,0.001,128,GMC,382592.0,265474,0.7140456,0.7629810716532281,0.8035683650711958,909.7647094726562,2882287.5,74.32353210449219,220073.09375,6.882352828979492,29302.912109375,2.382352828979492
122,1024,0.001,128,ICEH,166913.0,281986,0.77572614,0.7414829587693715,0.7696109967404358,866.6764526367188,6401996.5,218.8529357910156,799666.5,6.676470756530762,25738.205078125,16.941177368164062
123,1024,0.001,128,MCN,130432.0,232450,0.8185733,0.7445816892548751,0.7670698232973066,1419.6470947265625,3335599.5,138.35293579101562,225227.5625,9.352941513061523,29302.912109375,2.8235294818878174
124,1024,0.001,128,SCARF,248704.0,232450,0.67579037,0.745864785269057,0.7717089838165494,,,,,,,
125,1024,0.001,128,SUBTAB,150400.0,232450,0.81983125,0.7324119345799737,0.7289879624864185,,,,,,,
