,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,isns,northing,easting,resistivity
59,1024,0.0003162277660168,128,ICEH,100097.0,165889,0.434628385,9.502383181823213e-05,1.3228277111920702e-05,0.48944477532923036,0.097368586808443,0.0638010390102863,0.023123030550777898
60,1024,0.0003162277660168,128,MCN,54656.0,116353,0.778087435,8.560705100535296e-05,1.8967306459671733e-05,0.6546788431449199,0.1497135460376739,0.14953392744064326,0.07742566615343086
61,1024,0.0003162277660168,128,SCARF,182272.0,165889,0.798112175,7.457325864376934e-05,1.3811757526127418e-05,,,,
62,1024,0.0003162277660168,128,SUBTAB,100096.0,100225,0.6318769,0.01807289727003075,0.0011016175849363,,,,
63,1024,0.0005623413251903,32,CLIP,3425.0,7585,0.853929575,4.289865137252433e-05,2.271164157718802e-05,0.5833554098682047,0.1279408559203147,0.11439580842852584,0.04698402807116505
64,1024,0.0005623413251903,32,CONTROL,,7585,,,2.706212308112228e-05,,,,
65,1024,0.0005623413251903,32,GMC,171968.0,59905,0.5477939199999999,0.00011119405462515,2.1963751350994902e-05,0.5,0.10296627134084696,0.07540746405720705,0.0243035582825541
66,1024,0.0005623413251903,32,ICEH,87713.0,91873,0.42604153,8.77947968546753e-05,1.4272643056755897e-05,0.5253267029154312,0.12483319267630576,0.07901966199278825,0.02824741508811705
67,1024,0.0005623413251903,32,MCN,4448.0,7585,0.7495162200000001,0.0001420126063749,3.2139509130501496e-05,0.5843612275631589,0.19915245473384854,0.1285790614783763,0.1258966661989688
68,1024,0.0005623413251903,32,SCARF,145216.0,137953,0.9776552249999999,7.989987125256274e-06,1.4514053873426525e-05,,,,
69,1024,0.0005623413251903,32,SUBTAB,56800.0,56833,0.41163,0.0142203786235768,0.0011550495983101,,,,
70,1024,0.0005623413251903,64,CLIP,12993.0,29505,0.86773738,5.069840699434257e-05,1.646233840801822e-05,0.6484114492506883,0.11308522522449485,0.1278547756373882,0.03975356742739675
71,1024,0.0005623413251903,64,CONTROL,,29505,,,2.1042210391896782e-05,,,,
72,1024,0.0005623413251903,64,GMC,179200.0,79489,0.524202705,8.794274981482772e-05,1.7847645722212476e-05,0.5,0.09985677897930134,0.07505370676517481,0.02490322105586525
73,1024,0.0005623413251903,64,ICEH,91841.0,108353,0.407842145,0.0001114794140448,1.477587511544643e-05,0.5091592053038874,0.08619951084256164,0.0615661330521106,0.028015183284878648
74,1024,0.0005623413251903,64,MCN,15040.0,29505,0.676770375,6.230291364772678e-05,2.2776066543883227e-05,0.6237451253737849,0.14245352149009693,0.1489258632063865,0.06641259603202335
75,1024,0.0005623413251903,64,SCARF,157568.0,145217,0.78821315,0.001563406679451849,1.6998929368127787e-05,,,,
76,1024,0.0005623413251903,64,SUBTAB,67136.0,67201,0.5269431,0.03094929223880165,0.04739833995699875,,,,
77,1024,0.0005623413251903,128,CLIP,50561.0,116353,0.8656524999999999,3.899877174262604e-05,1.469380367780071e-05,0.6309816701852435,0.13648855686187739,0.111889898777008,0.05900918319821355
78,1024,0.0005623413251903,128,CONTROL,,116353,,,1.9003415218321342e-05,,,,
79,1024,0.0005623413251903,128,GMC,199808.0,149377,0.66538897,8.455017450614756e-05,1.4627902601204973e-05,0.5,0.10273049026727671,0.07473166286945335,0.02390011399984355
80,1024,0.0005623413251903,128,ICEH,100097.0,165889,0.4039143,9.692621460995299e-05,1.3910474535804966e-05,0.5420469271597714,0.089170541614294,0.0639664120972156,0.0270135402679443
81,1024,0.0005623413251903,128,MCN,54656.0,116353,0.788530025,6.834825398982459e-05,1.5697449271100935e-05,0.6468022476145392,0.1436033658683299,0.13156590610742566,0.0669901371002197
82,1024,0.0005623413251903,128,SCARF,182272.0,165889,0.9724622,3.9379250665660175e-05,1.4722041669301235e-05,,,,
83,1024,0.0005623413251903,128,SUBTAB,100096.0,100225,0.4486036,0.02316920441808175,0.03154100532992735,,,,
84,1024,0.001,32,CLIP,3425.0,7585,0.8774082000000001,7.799753802824157e-05,1.830343808251125e-05,0.6281051198724712,0.1301558539271354,0.10241964459419245,0.04626870155334465
85,1024,0.001,32,CONTROL,,7585,,,1.9922276806027874e-05,,,,
86,1024,0.001,32,GMC,171968.0,59905,0.413128465,6.411017420759782e-05,1.732434611767489e-05,0.5,0.102995716035366,0.07456252351403231,0.02362043969333165
87,1024,0.001,32,ICEH,87713.0,91873,0.35595196,7.714146886428298e-05,1.8796723452396145e-05,0.4996217851739788,0.14360121637582768,0.07165884971618644,0.022424599155783598
88,1024,0.001,32,MCN,4448.0,7585,0.70997274,0.000212495746382,1.9897513084287455e-05,0.5854418174323492,0.188808612525463,0.1548861041665077,0.1455372832715511
89,1024,0.001,32,SCARF,145216.0,137953,0.9801612850000001,1.9974968665790324e-06,1.3952514109404934e-05,,,,
90,1024,0.001,32,SUBTAB,56800.0,56833,0.323202655,0.1201257035136222,0.00080541297211305,,,,
91,1024,0.001,64,CLIP,12993.0,29505,0.872258575,4.223281939630333e-05,2.0417769519553552e-05,0.6368827021998069,0.12362581118941306,0.1190122812986373,0.0428127739578485
92,1024,0.001,64,CONTROL,,29505,,,1.774411248334188e-05,,,,
93,1024,0.001,64,GMC,179200.0,79489,0.6254192000000001,8.271120896097153e-05,1.7426561498722815e-05,0.501207729468599,0.0999595448374748,0.07355732843279836,0.0226120818406343
94,1024,0.001,64,ICEH,91841.0,108353,0.345309495,8.782649456406925e-05,1.575016312926862e-05,0.5513972017024114,0.11400495842099184,0.07996684312820429,0.028814963065087754
95,1024,0.001,64,MCN,15040.0,29505,0.73192203,8.957035242927217e-05,1.7807488347898118e-05,0.6217822733149976,0.1237469613552093,0.14962298423051834,0.0685662291944026
96,1024,0.001,64,SCARF,157568.0,145217,0.8537142499999999,0.0016804665428935255,1.387586053169754e-05,,,,
97,1024,0.001,64,SUBTAB,67136.0,67201,0.39477678,0.05663620308041565,0.03131620533531525,,,,
98,1024,0.001,128,CLIP,50561.0,116353,0.84342378,3.994995677203299e-05,1.3659702290169272e-05,0.5715224657167612,0.1182472109794616,0.11071896180510515,0.03028741572052235
99,1024,0.001,128,CONTROL,,116353,,,1.5000379789853218e-05,,,,
100,1024,0.001,128,GMC,199808.0,149377,0.67183622,0.00010024478979171953,1.6076128758868222e-05,0.5012739064257825,0.1070143543183803,0.0745593570172786,0.019727157428860602
101,1024,0.001,128,ICEH,100097.0,165889,0.3594482,0.00011271595212746644,1.2413224339979657e-05,0.505991817145242,0.09530095383524885,0.09780266880989069,0.0253653647378086
102,1024,0.001,128,MCN,54656.0,116353,0.7370350999999999,6.770355139451436e-05,1.678224361967273e-05,0.6551664933614354,0.13361328840255732,0.13161771744489664,0.06537630595266815
103,1024,0.001,128,SCARF,182272.0,165889,0.984830065,2.465694274178458e-05,1.4031448699824351e-05,,,,
104,1024,0.001,128,SUBTAB,100096.0,100225,0.31785597499999996,0.00031595884502160003,0.00224792666267595,,,,
105,1024,0.0017782794100389,32,CLIP,3425.0,7585,0.833874,3.4242832043673016e-05,1.973096095753099e-05,0.6284394103429973,0.11863772198557851,0.09870708361268035,0.03765035793185225
106,1024,0.0017782794100389,32,CONTROL,,7585,,,1.6987794879241176e-05,,,,
107,1024,0.0017782794100389,32,GMC,171968.0,59905,0.39863950000000004,8.0946216257822e-05,1.8416387320030115e-05,0.5024630541871922,0.1019909009337425,0.07947816327214235,0.0238843765109777
108,1024,0.0017782794100389,32,ICEH,87713.0,91873,0.43116947,0.00010737869524745787,1.4432883745030128e-05,0.5151695818397264,0.11844063922762865,0.10043864138424395,0.1775470413267612
109,1024,0.0017782794100389,32,MCN,4448.0,7585,0.7363943,0.00010101633233712329,2.3441999474015976e-05,0.6035348334164006,0.1640699803829192,0.14826071262359614,0.0979445911943912
110,1024,0.0017782794100389,32,SCARF,145216.0,137953,0.987655425,1.0843560289685957e-05,1.4482051028607666e-05,,,,
111,1024,0.0017782794100389,32,SUBTAB,56800.0,56833,0.25136036500000003,0.0077806963963666,0.0530707594007253,,,,
112,1024,0.0017782794100389,64,CLIP,12993.0,29505,0.8474089499999999,4.33425411756608e-05,1.2761801826854749e-05,0.6206597206078139,0.12779597193002695,0.1172193475067615,0.040541389957070254
113,1024,0.0017782794100389,64,CONTROL,,29505,,,1.881753905763565e-05,,,,
114,1024,0.0017782794100389,64,GMC,179200.0,79489,0.52473865,7.229040056699827e-05,1.6996151316560998e-05,0.5,0.0964277163147926,0.07773762568831441,0.024068524129688698
115,1024,0.0017782794100389,64,ICEH,91841.0,108353,0.40540755,0.00011709142563628453,1.933130442921506e-05,0.5403333640138392,0.0842162780463695,0.08901929855346674,0.09473169874399895
116,1024,0.0017782794100389,64,MCN,15040.0,29505,0.785350565,9.492870958638288e-05,1.5071762845763712e-05,0.6210120632288214,0.14568018168210978,0.131404373794794,0.058628471568226745
117,1024,0.0017782794100389,64,SCARF,157568.0,145217,0.9937740799999999,8.522658799842984e-05,1.521090780443032e-05,,,,
118,1024,0.0017782794100389,64,SUBTAB,67136.0,67201,0.28195205,0.0409088330343365,0.030525153444614202,,,,
119,1024,0.0017782794100389,128,CLIP,50561.0,116353,0.793988345,5.043418423156158e-05,1.3452697658066886e-05,0.671179264613124,0.12546114623546595,0.0894840098917484,0.0372605640441179
120,1024,0.0017782794100389,128,CONTROL,,116353,,,1.4720265426148533e-05,,,,
121,1024,0.0017782794100389,128,GMC,199808.0,149377,0.64364752,7.970968363224457e-05,1.3894473795516588e-05,0.5,0.10111897066235534,0.08879502490162841,0.0231993524357676
122,1024,0.0017782794100389,128,ICEH,100097.0,165889,0.40827093999999997,9.892370144368326e-05,1.3878789559384751e-05,0.5118525577236133,0.0812250673770904,0.06768804229795924,0.1295758560299873
123,1024,0.0017782794100389,128,MCN,54656.0,116353,0.740921645,6.420529280148783e-05,1.46948386827712e-05,0.6719477116885039,0.12280828505754465,0.1263862252235412,0.0560196321457624
124,1024,0.0017782794100389,128,SCARF,182272.0,165889,0.966836735,0.00030285873799575,1.5884397271292603e-05,,,,
125,1024,0.0017782794100389,128,SUBTAB,100096.0,100225,0.398123815,0.0005226084904279,0.0615205541253089,,,,
126,1024,0.0031622776601683,32,CLIP,3425.0,7585,0.780057475,3.728663068613871e-05,2.4478587874909585e-05,0.6028619189876596,0.09895275533199299,0.10624121129512784,0.045678094029426505
127,1024,0.0031622776601683,32,CONTROL,,7585,,,1.9221319234929725e-05,,,,
128,1024,0.0031622776601683,32,GMC,171968.0,59905,0.490560065,8.028039519558617e-05,2.0680009583884127e-05,0.502084839361171,0.1068125627934932,0.078154657036066,0.024429228156805
