,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
74,1024,0.0005,64,MCN,53696.0,92353,0.51419944,0.61323833,0.5555804,21.24263572692871,0.0397507734596729,0.0677187666296958,22.739707946777344,0.056042306125164,2277.451904296875,26601.263671875,7.767436909489334e-05,0.2013029605150222,0.0603910759091377,5.922417640686035
75,1024,0.0005,64,SCARF,96448.0,92353,0.58219856,0.64574564,0.5293578,,,,,,,,,,,
76,1024,0.0005,64,SUBTAB,63680.0,92353,0.4790575,0.6031077,0.54486734,,,,,,,,,,,
77,1024,0.0005,128,CLIP,184449.0,364929,0.46638417,0.61317307,0.5325254,5.616768836975098,0.0266561564058065,0.0512729249894619,26.685577392578125,0.008402788080275,396.2826843261719,32271.888671875,2.9927703508292325e-05,0.0731661766767501,0.0449936911463737,1.3686649799346924
78,1024,0.0005,128,CONTROL,,364929,,,0.52641225,,,,,,,,,,,
79,1024,0.0005,128,GMC,582272.0,397953,0.47706267,0.65542257,0.55155337,1.4677767753601074,0.019340269267559,0.028669387102127,20.72433853149414,0.0013292724033817,322.915771484375,2718.66259765625,3.854650640278123e-05,0.1438469737768173,0.0175698474049568,7.778530120849609
80,1024,0.0005,128,ICEH,233985.0,414465,0.38825673,0.5528632,0.55633307,5.346884250640869,0.0757231935858726,0.0988444611430168,52.02538299560547,0.0113461259752511,3322.638427734375,30656.21484375,5.1631766837090254e-05,0.2124384045600891,0.1976056843996048,11.441550254821776
81,1024,0.0005,128,MCN,197504.0,364929,0.4867611,0.6417788,0.54375255,3.1319305896759038,0.1064513251185417,0.1329468935728073,18.9726505279541,0.0054491646587848,407.6488342285156,2304.183837890625,7.767436909489334e-05,0.0807184725999832,0.0243358463048934,3.209115743637085
82,1024,0.0005,128,SCARF,381312.0,364929,0.49717435,0.6577231,0.5334332,,,,,,,,,,,
83,1024,0.0005,128,SUBTAB,250240.0,364929,0.50588936,0.5983384,0.5439259,,,,,,,,,,,
84,1024,0.0007,32,CLIP,12321.0,23649,0.46289307,0.5758242,0.53832775,6.328234672546387,0.0192025396972894,0.0872050821781158,38.22965621948242,0.0022264400031417,384.7765502929688,24251.650390625,2.5762888981262225e-05,0.0908017233014106,0.0474143102765083,0.9424431920051576
85,1024,0.0007,32,CONTROL,,23649,,,0.5449897,,,,,,,,,,,
86,1024,0.0007,32,GMC,569888.0,216417,0.5115658,0.6887559,0.54252505,1.516038417816162,0.0188343450427055,0.0281303059309721,19.78345489501953,0.0014333459548652,332.2784729003906,2266.7841796875,4.8105837777256966e-05,0.0295546166598796,0.0175352320075035,1.938019037246704
87,1024,0.0007,32,ICEH,221601.0,232929,0.45239452,0.5276163,0.53859746,8.749792098999023,0.0703693032264709,0.0151913845911622,44.6683464050293,0.0016596399946138,228.1930694580078,56915.69140625,5.366601544665173e-05,0.1050641685724258,0.0908089280128479,11.905932426452637
88,1024,0.0007,32,MCN,15584.0,23649,0.5254531,0.6078,0.5669158,9.692315101623535,0.0782764628529548,0.0512049235403537,21.4231071472168,0.0095967780798673,632.1934814453125,77883.4609375,7.767436909489334e-05,0.1332269459962844,0.0750206187367439,5.922417640686035
89,1024,0.0007,32,SCARF,24672.0,23649,0.4106296,0.69432694,0.5246734,,,,,,,,,,,
90,1024,0.0007,32,SUBTAB,16480.0,23649,0.49354726,0.6133692,0.5547241,,,,,,,,,,,
91,1024,0.0007,64,CLIP,47169.0,92353,0.48665124,0.5932692,0.5457111,4.375618934631348,0.0303450003266334,0.2696380019187927,29.959278106689453,0.0016402923502027,2893.84228515625,31059.685546875,1.942798371601384e-05,0.0735523253679275,0.0499709248542785,0.7329070568084717
92,1024,0.0007,64,CONTROL,,92353,,,0.53825384,,,,,,,,,,,
93,1024,0.0007,64,GMC,574016.0,254401,0.49032152,0.6494506,0.5456956,1.4331576824188232,0.0191863849759101,0.0292553827166557,19.41429710388184,0.0013508875854313,306.7884521484375,2162.9599609375,5.105114905745722e-05,0.0612632296979427,0.0176335386931896,4.653522491455078
94,1024,0.0007,64,ICEH,225729.0,270913,0.4250154,0.51461536,0.5115904,8.933037757873535,0.0589931905269622,0.0259115397930145,59.13683319091797,0.0020501012913882,586.8019409179688,40258.234375,3.58128163497895e-05,0.1285133957862854,0.1117344796657562,10.845118522644045
95,1024,0.0007,64,MCN,53696.0,92353,0.5158812,0.64326155,0.56921774,7.120930671691895,0.0782764628529548,0.0296579971909523,23.535194396972656,0.0017124185105785,731.9149780273438,14986.9140625,5.586120823863894e-05,0.1937823444604873,0.2318043112754821,5.922417640686035
96,1024,0.0007,64,SCARF,96448.0,92353,0.573761,0.6231711,0.5337533,,,,,,,,,,,
97,1024,0.0007,64,SUBTAB,63680.0,92353,0.50375533,0.62896925,0.54484975,,,,,,,,,,,
98,1024,0.0007,128,CLIP,184449.0,364929,0.46126854,0.60581195,0.57209563,6.784346580505371,0.0246119610965251,0.1116953939199447,15.916338920593262,0.002916244789958,838.873046875,22726.85546875,3.565993392840028e-05,0.0645520165562629,0.0533880032598972,1.0348970890045166
99,1024,0.0007,128,CONTROL,,364929,,,0.5375867,,,,,,,,,,,
100,1024,0.0007,128,GMC,582272.0,397953,0.4961703,0.6834461,0.5343635,1.5392614603042605,0.0186236537992954,0.0289246160537004,19.94329643249512,0.0013511152938008,332.9096069335937,2953.389892578125,4.93938714498654e-05,0.0313989259302616,0.0176390781998634,8.359036445617676
101,1024,0.0007,128,ICEH,233985.0,414465,0.4349836,0.5401847,0.5373634,8.955010414123535,0.0690217316150665,0.0193824619054794,31.143617630004883,0.0017628615023568,7494.2109375,43717.8828125,5.207866342971101e-05,0.0882271081209182,0.0734161585569381,9.106366157531738
102,1024,0.0007,128,MCN,197504.0,364929,0.51557887,0.6140923,0.5375766,2.918365478515625,0.0268399994820356,0.0293021574616432,35.23241424560547,0.002699248958379,240.7826995849609,1589.7991943359375,7.841745537007228e-05,0.0844047889113426,0.0417166128754615,2.0711073875427246
103,1024,0.0007,128,SCARF,381312.0,364929,0.511264,0.64332306,0.55902624,,,,,,,,,,,
104,1024,0.0007,128,SUBTAB,250240.0,364929,0.5034409,0.6052769,0.5463834,,,,,,,,,,,
105,1024,0.001,32,CLIP,12321.0,23649,0.46522424,0.591146,0.55746406,5.998072624206543,0.0311487689614295,0.1171721592545509,22.59492874145508,0.0091153671965003,305.2161560058594,36737.6015625,3.451583324931562e-05,0.0859043449163436,0.045306921005249,1.3486216068267822
106,1024,0.001,32,CONTROL,,23649,,,0.57516104,,,,,,,,,,,
107,1024,0.001,32,GMC,569888.0,216417,0.51325846,0.622265,0.54257303,1.511607646942139,0.0188876166939735,0.0282184593379497,19.323753356933597,0.0013951138826087,306.2776794433594,2804.165283203125,4.832524064113386e-05,0.0309607721865177,0.0177087690681219,2.0514934062957764
108,1024,0.001,32,ICEH,221601.0,232929,0.423932,0.5233334,0.54381216,13.515823364257812,0.0640147253870964,0.4633691310882568,30.24980735778809,0.0173013191670179,557.9246215820312,37431.54296875,5.020830576540902e-05,0.0779483392834663,0.6181429624557495,11.496111869812012
109,1024,0.001,32,MCN,15584.0,23649,0.47235444,0.6791385,0.5724115,5.789653301239014,0.0601579211652278,0.8305665850639343,33.890167236328125,0.0033038044348359,371.1672973632813,6060.07177734375,5.586120823863894e-05,0.3417933583259582,0.0234449226409196,5.922417640686035
110,1024,0.001,32,SCARF,24672.0,23649,0.5851756,0.68444616,0.53164417,,,,,,,,,,,
111,1024,0.001,32,SUBTAB,16480.0,23649,0.5212937,0.6151923,0.54396063,,,,,,,,,,,
112,1024,0.001,64,CLIP,47169.0,92353,0.47465754,0.59,0.56817764,4.662380695343018,0.0209111925214529,0.1142527684569358,17.871923446655273,0.00421978905797,306.9296264648437,23532.80859375,3.406928590266034e-05,0.0668335631489753,0.0641281604766845,1.5240896940231323
113,1024,0.001,64,CONTROL,,92353,,,0.5544877,,,,,,,,,,,
