,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Lower_court_disagreement,Actions_taken,Year_of_decision
11,1024,0.0001,64,MCN,15744.0,38017,0.399595,0.009203393,0.31764945,0.5183124315110191,0.5276220651555772,0.5,0.4784981003960876,0.4801488005871951,2.556650161743164,478.4901428222656
12,1024,0.0001,64,SCARF,42112.0,38017,0.9058124,0.008496058,0.74540746,,,,,,,
13,1024,0.0001,64,SUBTAB,17536.0,38017,0.40612164,0.009476897,0.3268879,,,,,,,
14,1024,0.0001,128,CLIP,34817.0,149761,0.46898267,0.008584585,0.3384044,0.5167661025203945,0.4457307661061012,0.4872448979591837,0.5326974375555735,0.5101257798685483,9.630541801452637,392.6822509765625
15,1024,0.0001,128,CONTROL,,149761,,,0.40455124,,,,,,,
16,1024,0.0001,128,GMC,217472.0,182785,0.36203116,0.008373645,0.30493295,0.5,0.5,0.5,0.5,0.5,0.2438423633575439,117.17487335205078
17,1024,0.0001,128,ICEH,84353.0,199297,0.78908145,0.0076868827,0.30028918,0.5718008036040424,0.7395401738565277,0.6683673469387754,0.5,0.4681546725386181,24.33251190185547,478.4901428222656
18,1024,0.0001,128,MCN,47872.0,149761,0.45855027,0.0071580596,0.2949624,0.5,0.5,0.5,0.4878075068035459,0.5,0.8349753618240356,478.4901428222656
19,1024,0.0001,128,SCARF,166144.0,149761,0.87109065,0.007568336,1.5201558,,,,,,,
20,1024,0.0001,128,SUBTAB,67840.0,149761,0.46383783,0.008126423,11.497912,,,,,,,
21,1024,0.0002,32,CLIP,2561.0,9793,0.44745174,0.0073700002,5.680462,0.5278826251065384,0.5,0.4974489795918367,0.5287500336809204,0.5,13.487685203552246,419.5443420410156
22,1024,0.0002,32,CONTROL,,9793,,,0.7877794,,,,,,,
23,1024,0.0002,32,GMC,205088.0,62689,0.41598338,0.00854992,0.30344018,0.4933398271033727,0.5,0.5,0.5,0.5,0.2438423633575439,179.90887451171875
24,1024,0.0002,32,ICEH,71969.0,79201,0.68558353,0.008880357,0.29624718,0.5232558139534884,0.5,0.6071428571428572,0.5,0.4983818770226537,1.0566502809524536,478.4901428222656
25,1024,0.0002,32,MCN,5824.0,9793,0.37570453,0.008742829,0.3122405,0.5,0.5297749614103502,0.5,0.4949074448306523,0.5,0.2438423633575439,478.4901428222656
26,1024,0.0002,32,SCARF,10816.0,9793,0.8439348,0.007315393,0.31895778,,,,,,,
27,1024,0.0002,32,SUBTAB,4672.0,9793,0.49169803,0.0077044237,0.32276925,,,,,,,
28,1024,0.0002,64,CLIP,9217.0,38017,0.50179666,0.007917953,0.43230277,0.4947643979057591,0.4696969696969697,0.3545918367346939,0.5,0.5114436326026757,18.72413825988769,334.6970520019531
29,1024,0.0002,64,CONTROL,,38017,,,0.33829278,,,,,,,
30,1024,0.0002,64,GMC,209216.0,88385,0.4179018,0.010237439,0.33118352,0.5189455740898575,0.5,0.5,0.5,0.5,0.2438423633575439,155.29803466796875
