,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
97,1024,0.0007,64,SUBTAB,59392.0,84034,0.8986936,0.603336311159978,0.7558754810335349,,,,,,,,,,
98,1024,0.0007,128,CLIP,167681.0,331906,0.90513736,0.5909783305845703,0.625171797691039,3780486.75,540.7252807617188,3.682098865509033,2002462.875,14833641472.0,96.81327056884766,2.561728477478028,2.1033949851989746,0.8888888955116272,4.580246925354004
99,1024,0.0007,128,CONTROL,,331906,,,0.5696296041781198,,,,,,,,,,
100,1024,0.0007,128,GMC,532352.0,364930,0.99834585,0.7518496884735202,0.7309877221916804,80197.546875,206.93055725097656,1.1404321193695068,322483.90625,5198800896.0,24.79320907592773,11.584877014160156,1.0308642387390137,0.3225308656692505,1.8919752836227417
101,1024,0.0007,128,ICEH,217217.0,381442,0.92575735,0.6225261132490378,0.7701117830309694,121417.2578125,913.6265258789062,205.9629669189453,322072.78125,123046888.0,87.90123748779297,4.478394985198975,2.342592477798462,154.8765411376953,2.257715940475464
102,1024,0.0007,128,MCN,180736.0,331906,0.8979216,0.5808079072750596,0.6432563679677479,80181.8046875,287.76544189453125,1.2160494327545166,322523.8125,78635232.0,62.65277862548828,1.7175925970077517,2.7067902088165283,14.847222328186035,2.2083332538604736
103,1024,0.0007,128,SCARF,348160.0,331906,0.9923833,0.7125710097122961,0.7188702583837273,,,,,,,,,,
104,1024,0.0007,128,SUBTAB,233472.0,331906,0.9053952,0.6020077423492762,0.7487516034451163,,,,,,,,,,
105,1024,0.001,32,CLIP,11201.0,21538,0.8980344,0.5863054333883086,0.6283271486164559,2733921.0,628.4830322265625,3.109567880630493,2002462.0,15127240704.0,182.4953765869141,2.425925970077514,1.6126543283462524,0.7916666865348816,11.254630088806152
106,1024,0.001,32,CONTROL,,21538,,,0.5054688931647425,,,,,,,,,,
