,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,LATITUDE,LONGITUDE,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,month_sold
31,1024,0.0002,64,ICEH,259265.0,312641,0.64731836,0.04569404,3.7030256,0.0552219189703464,0.0514772050082683,102468416.0,2976835.0,2142189696.0,330806432.0,1266992640.0,554637440.0,4846747136.0,2755772928.0,242258736.0,445.83782958984375,15.945945739746094
32,1024,0.0002,64,MCN,62272.0,109121,0.36716267,0.04818962,19.703083,0.0687593072652816,0.0496154390275478,544481408.0,5719594.0,276729184.0,234898000.0,1254366080.0,296733632.0,5417003008.0,2393139456.0,138829584.0,1643.1162109375,15.172972679138184
33,1024,0.0002,64,SCARF,113216.0,109121,0.3703657,0.052551005,264.63055,,,,,,,,,,,,,
34,1024,0.0002,64,SUBTAB,80448.0,109121,0.3874312,0.048147123,57.281395,,,,,,,,,,,,,
35,1024,0.0002,128,CLIP,217985.0,431233,0.3656984,0.049918514,151.01146,0.0669763535261154,0.0398774370551109,1153521664.0,2596500.5,2102531456.0,424628960.0,1254366080.0,556564224.0,6240830976.0,1852600576.0,413948128.0,1784.9027099609375,34.518917083740234
36,1024,0.0002,128,CONTROL,,431233,,,90.66162,,,,,,,,,,,,,
37,1024,0.0002,128,GMC,682112.0,464257,0.60737383,0.1040658,42.302143,0.0572918765246868,0.0201603583991527,423353984.0,6501419.0,275707264.0,100288768.0,929133952.0,373495200.0,2847702272.0,1397737600.0,178274992.0,565.6810913085938,11.756756782531738
38,1024,0.0002,128,ICEH,267521.0,480769,0.27594212,0.04427177,0.75093514,0.07626573741436,0.0408193133771419,102468416.0,13251490.0,1980931840.0,110020920.0,1285309312.0,737280960.0,6384224256.0,2791415552.0,147070928.0,275.4189147949219,15.332432746887209
39,1024,0.0002,128,MCN,231040.0,431233,0.36599797,0.05069961,133.91846,0.1312949061393737,0.0497926883399486,102468416.0,2259774.5,276504352.0,107806344.0,1254366080.0,296733632.0,4538346496.0,1858421504.0,97228168.0,632.078369140625,26.118919372558597
40,1024,0.0002,128,SCARF,447616.0,431233,0.3309353,0.062079098,66.38037,,,,,,,,,,,,,
41,1024,0.0002,128,SUBTAB,316544.0,431233,0.36277416,0.047450982,55.749172,,,,,,,,,,,,,
42,1024,0.0003,32,CLIP,14561.0,27937,0.3609753,0.054392908,11.443461,0.0841262862086296,0.0497926883399486,109990264.0,2259774.5,275873664.0,432646432.0,1254366080.0,685097216.0,4538346496.0,1858421504.0,97228168.0,1153.1729736328125,34.72432327270508
43,1024,0.0003,32,CONTROL,,27937,,,43.946507,,,,,,,,,,,,,
44,1024,0.0003,32,GMC,669728.0,252001,0.494165,0.10806335,3.2846274,0.0573342926800251,0.0224945992231369,469118432.0,4181313.5,275364992.0,131667584.0,1223983232.0,536557152.0,2052253824.0,1658668032.0,206524256.0,397.194580078125,11.572973251342772
45,1024,0.0003,32,ICEH,255137.0,268513,0.6456318,0.04985015,1.0209543,0.0385573357343673,0.0539873838424682,411191648.0,9165147.0,1819124736.0,142434032.0,1529357440.0,812891008.0,6360731648.0,3022045696.0,277590976.0,325.7756652832031,30.2297306060791
46,1024,0.0003,32,MCN,17824.0,27937,0.3821327,0.045656048,9.666916,0.0762693434953689,0.0481114275753498,102468416.0,2259774.5,276729184.0,107806344.0,1254366080.0,296733632.0,4538346496.0,1858421504.0,97228168.0,1300.189208984375,30.278377532958984
47,1024,0.0003,32,SCARF,28960.0,27937,0.295074,0.05693857,49.37487,,,,,,,,,,,,,
