,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,day,date,period,nswprice,nswdemand,vicprice,vicdemand,transfer
56,1024,0.0003,128,CLIP,118273.0,249730,0.8257742,0.7994676383349091,0.8002166776899075,0.2364913987449259,0.0871205702424049,0.1416592001914978,0.0024608010426163,0.0186240971088409,1.4630687701355782e-06,0.003919580951333,0.0090832356363534
57,1024,0.0003,128,CONTROL,,249730,,,0.7735926432378842,,,,,,,,
58,1024,0.0003,128,GMC,400768.0,282754,0.2506463,0.8032327175196491,0.8060934851970726,0.2206258683012188,0.0921493768692016,0.1375750601291656,0.0008958073449321,0.0146348504349589,3.188467417203356e-06,0.0076088057830929,0.0131705151870846
59,1024,0.0003,128,ICEH,167809.0,299266,0.345125,0.819631106909205,0.8064036237382447,0.2333303091817023,0.0936460196971893,0.2449783384799957,0.0006782668060623,0.011897848919034,1.508293394181237e-06,0.015948561951518,0.0347780920565128
60,1024,0.0003,128,MCN,131328.0,249730,0.48127067,0.804691437173614,0.7994638512092427,0.2180073039042142,0.0843399763107299,0.1906533539295196,0.0054580508731305,0.0155163742601871,5.9638907259795815e-05,0.0097313337028026,0.0247353762388229
61,1024,0.0003,128,SCARF,265984.0,249730,0.4353977,0.7174192902655993,0.7887637334025837,,,,,,,,
62,1024,0.0003,128,SUBTAB,184064.0,249730,0.7616093,0.8007802831417453,0.8029131111643112,,,,,,,,
63,1024,0.0005,32,CLIP,8065.0,16354,0.7742584,0.8022629428401008,0.7747900512208746,0.2415709156875632,0.0908695980906486,0.1352923363447189,0.0004959375364705,0.0097344145178794,1.4429933798965069e-06,0.0036103136371821,0.0200187601149082
64,1024,0.0005,32,CONTROL,,16354,,,0.7757330455117827,,,,,,,,
65,1024,0.0005,32,GMC,388384.0,147202,0.23953365,0.800875367046867,0.7993505079482299,0.2108359004866854,0.0827557072043418,0.1731662601232528,0.0010582179529592,0.013555004261434,3.242163302275003e-06,0.007068604696542,0.0133659578859806
66,1024,0.0005,32,ICEH,155425.0,163714,0.34619355,0.830561698363556,0.7956852465756945,0.2715249315752773,0.0684637948870658,0.1977879405021667,0.0009757244843058,0.0071527687832713,1.0003914212575182e-06,0.0077439411543309,0.0330112650990486
