,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Total_Discharges,Average_Covered_Charges,Average_Medicare_Payments
174,4096,0.005,32,SUBTAB,5472.0,6497,0.7808441,0.02188571,0.007799981,,,
175,4096,0.005,64,CLIP,12865.0,25281,0.7896381,0.022809677,0.007830295,1015101.625,0.0850209072232246,0.0544752962887287
176,4096,0.005,64,CONTROL,,25281,,,0.007260439,,,
177,4096,0.005,64,GMC,174656.0,87489,0.8025921,0.06392604,0.009243818,2765.169189453125,0.131291463971138,0.0760857984423637
178,4096,0.005,64,ICEH,91585.0,104001,0.78545004,0.022192184,0.007697703,1017441.4375,1.7807831764221191,0.4321906268596649
179,4096,0.005,64,MCN,39040.0,25281,0.79074186,0.016158057,0.008268978,406565.8125,0.5500934720039368,0.1786871254444122
180,4096,0.005,64,SCARF,29376.0,25281,0.9262611,0.032503672,0.008114811,,,
181,4096,0.005,64,SUBTAB,21184.0,25281,0.7870217,0.025143985,0.007852437,,,
182,4096,0.005,128,CLIP,50305.0,99713,0.78696626,0.026541445,0.007995453,1017441.4375,0.081816166639328,0.0575013197958469
183,4096,0.005,128,CONTROL,,99713,,,0.0075538554,,,
184,4096,0.005,128,GMC,182912.0,132737,0.78665495,0.09843264,0.009113516,2787.020751953125,0.112255074083805,0.0575993061065673
185,4096,0.005,128,ICEH,99841.0,149249,0.79411674,0.03474241,0.008068612,3326.507080078125,0.9135990142822266,1.726983666419983
186,4096,0.005,128,MCN,102656.0,99713,0.7907992,0.022375913,0.007669168,3204.605224609375,0.3991223573684692,0.1480598151683807
187,4096,0.005,128,SCARF,116096.0,99713,0.9324776,0.10546055,0.009952567,,,
188,4096,0.005,128,SUBTAB,83328.0,99713,0.7934271,0.02095362,0.012607117,,,
189,4096,0.007,32,CLIP,3361.0,6497,0.7958211,0.02237593,0.007751109,1016919.25,0.0806593596935272,0.0559862703084945
190,4096,0.007,32,CONTROL,,6497,,,0.0078081256,,,
191,4096,0.007,32,GMC,170528.0,74081,0.7924977,0.059816476,0.00807288,2880.32958984375,0.0900565385818481,0.0660326108336448
192,4096,0.007,32,ICEH,87457.0,90593,0.7846615,0.030306185,0.007836928,1017441.4375,0.902046263217926,0.5808731913566589
193,4096,0.007,32,MCN,16448.0,6497,0.7910168,0.02292976,0.0077266046,3326.507080078125,1.7112059593200684,1.726983666419983
194,4096,0.007,32,SCARF,7520.0,6497,0.9337066,0.07381783,0.007948756,,,
195,4096,0.007,32,SUBTAB,5472.0,6497,0.79845333,0.022291973,0.0077535463,,,
196,4096,0.007,64,CLIP,12865.0,25281,0.7973354,0.02177191,0.007280504,1017441.4375,0.0829493626952171,0.0548564195632934
197,4096,0.007,64,CONTROL,,25281,,,0.007865871,,,
198,4096,0.007,64,GMC,174656.0,87489,0.7959518,0.0705679,0.008135877,2683.8515625,0.2006637305021286,0.0825645625591278
199,4096,0.007,64,ICEH,91585.0,104001,0.7898031,0.03190344,0.008391923,18403.7421875,1.7605355978012085,0.1403899043798446
200,4096,0.007,64,MCN,39040.0,25281,0.7869744,0.014361518,0.0069336942,31894.03515625,0.5387126207351685,0.3698712885379791
201,4096,0.007,64,SCARF,29376.0,25281,0.9355292,0.057729587,0.0073784124,,,
202,4096,0.007,64,SUBTAB,21184.0,25281,0.7917232,0.02262746,0.009006009,,,
203,4096,0.007,128,CLIP,50305.0,99713,0.7942714,0.025290491,0.010374837,1017441.4375,0.0867491587996482,0.0539405047893524
204,4096,0.007,128,CONTROL,,99713,,,0.007699778,,,
205,4096,0.007,128,GMC,182912.0,132737,0.7843122,0.05179589,0.011270427,3979.59326171875,0.0827347859740257,0.062548778951168
206,4096,0.007,128,ICEH,99841.0,149249,0.7979914,0.06646127,0.0076957773,271020.375,1.7165822982788086,0.4358543157577514
207,4096,0.007,128,MCN,102656.0,99713,0.7899918,0.022675611,0.0077293618,2599.53076171875,0.2617664337158203,0.4012041985988617
208,4096,0.007,128,SCARF,116096.0,99713,0.946335,0.06961161,0.014508387,,,
209,4096,0.007,128,SUBTAB,83328.0,99713,0.79172164,0.025638213,0.008646438,,,
210,4096,0.01,32,CLIP,3361.0,6497,0.7888415,0.027636226,0.007845419,1012541.6875,0.0875315070152282,0.0557039193809032
211,4096,0.01,32,CONTROL,,6497,,,0.007916387,,,
212,4096,0.01,32,GMC,170528.0,74081,0.79889107,0.09785318,0.0076808142,4622.3955078125,0.0959982350468635,0.0692233890295028
213,4096,0.01,32,ICEH,87457.0,90593,0.7900421,0.06384149,0.007923935,3326.507080078125,1.7686630487442017,1.726983666419983
214,4096,0.01,32,MCN,16448.0,6497,0.81774193,0.012318266,0.0077781645,32864.421875,0.9153356552124025,0.4358543157577514
215,4096,0.01,32,SCARF,7520.0,6497,0.8955754,0.04349258,0.007801796,,,
216,4096,0.01,32,SUBTAB,5472.0,6497,0.7972269,0.020285355,0.007938186,,,
217,4096,0.01,64,CLIP,12865.0,25281,0.79433113,0.024921695,0.007768239,982047.1875,0.0917477235198021,0.0574479848146438
218,4096,0.01,64,CONTROL,,25281,,,0.007742174,,,
219,4096,0.01,64,GMC,174656.0,87489,0.7959628,0.02611816,0.009623786,10984.021484375,0.0776884034276008,0.0626987442374229
220,4096,0.01,64,ICEH,91585.0,104001,0.7879181,0.056542553,0.01135241,3326.507080078125,1.7795864343643188,0.1294853240251541
221,4096,0.01,64,MCN,39040.0,25281,0.7303007,0.019189253,0.0077417777,380200.96875,0.5348003506660461,0.7236415147781372
222,4096,0.01,64,SCARF,29376.0,25281,0.91234016,0.03963692,0.008286013,,,
223,4096,0.01,64,SUBTAB,21184.0,25281,0.78431547,0.02645172,0.012912885,,,
224,4096,0.01,128,CLIP,50305.0,99713,0.80457336,0.030983226,0.009274207,1017441.4375,0.1136041134595871,0.0583218187093734
225,4096,0.01,128,CONTROL,,99713,,,0.007773623,,,
226,4096,0.01,128,GMC,182912.0,132737,0.78497106,0.06650697,0.009135088,2934.85009765625,1.4854259490966797,1.354270339012146
227,4096,0.01,128,ICEH,99841.0,149249,0.79041016,0.08656085,0.009119441,3326.378173828125,0.8997513055801392,1.718953251838684
228,4096,0.01,128,MCN,102656.0,99713,0.7910955,0.018079678,0.007908194,2348.22265625,0.135520800948143,0.0799200981855392
229,4096,0.01,128,SCARF,116096.0,99713,0.92490214,0.055569228,0.008721229,,,
230,4096,0.01,128,SUBTAB,83328.0,99713,0.789704,0.027308658,0.008030922,,,
